subscriber_id,subscriber_name,city,zone,plan_type,plan_name,monthly_charge,activation_date,status
SUB_00072,Customer 72,Sharjah,Zone 4,Prepaid,Standard,84.08,2024-10-15,Suspended
SUB_00073,Customer 73,Ajman,Zone 1,Postpaid,Premium,235.74,2025-04-13,Active
SUB_00074,Customer 74,Abu Dhabi,Zone 4,Postpaid,Standard,189.55,2025-10-16,Active
SUB_00075,Customer 75,Dubai,Zone 1,Postpaid,Standard,195.68,2025-01-12,Active
SUB_00076,Customer 76,Abu Dhabi,Zone 2,Postpaid,Premium,243.98,2024-06-19,Active
SUB_00077,Customer 77,Sharjah,Zone 4,Postpaid,Premium,217.02,2025-01-18,Suspended
SUB_00078,Customer 78,Fujairah,Zone 6,Prepaid,Basic,138.77,2025-01-02,Active
SUB_00079,Customer 79,Dubai,Zone 4,Postpaid,Unlimited,480.03,2024-08-06,Active
SUB_00080,Customer 80,Abu Dhabi,Zone 8,Prepaid,Standard,120.62,2025-11-21,Active
SUB_00081,Customer 81,Dubai,Zone 3,Prepaid,Standard,138.04,2024-10-04,Active
SUB_00082,Customer 82,Ajman,Zone 5,Postpaid,Standard,108.35,2025-12-23,Active
SUB_00083,Customer 83,Abu Dhabi,Zone 3,Prepaid,Basic,93.45,2025-12-04,Active
SUB_00084,Customer 84,Abu Dhabi,Zone 6,Prepaid,Basic,61.75,2025-10-29,Active
SUB_00085,Customer 85,Sharjah,Zone 5,Prepaid,Basic,97.77,2024-03-18,Active
SUB_00086,Customer 86,Abu Dhabi,Zone 5,Postpaid,Standard,196.99,2025-09-19,Active
SUB_00087,Customer 87,Ajman,Zone 6,Pre-paid,Unlimited,387.95,2025-10-16,Active
SUB_00088,Customer 88,Dubai,Zone 7,Postpaid,Premium,268.18,2024-06-28,Active
SUB_00089,Customer 89,Abu Dhabi,Zone 8,Postpaid,Unlimited,493.81,2025-07-04,Active
SUB_00090,Customer 90,Abu Dhabi,Zone 8,Postpaid,Standard,118.81,2024-09-11,Active
SUB_00091,Customer 91,Abu Dhabi,Zone 2,Prepaid,Basic,75.99,2024-06-20,Active
SUB_00092,Customer 92,Dubai,Zone 1,Prepaid,Standard,118.47,2025-04-22,Active
SUB_00093,Customer 93,Ajman,Zone 5,Postpaid,Premium,287.17,2025-01-27,Suspended
SUB_00094,Customer 94,Dubai,Zone 6,Postpaid,Standard,102.64,2024-10-07,Active
SUB_00095,Customer 95,Sharjah,Zone 8,Postpaid,Standard,174.96,2025-10-21,Active
SUB_00096,Customer 96,Sharjah,Zone 1,Postpaid,Premium,262.22,2025-12-09,Active
SUB_00097,Customer 97,Dubai,Zone 6,Postpaid,Premium,312.49,2025-07-28,Suspended
SUB_00098,Customer 98,Abu Dhabi,Zone 5,Postpaid,Unlimited,387.1,2024-08-16,Active
SUB_00099,Customer 99,Dubai,Zone 3,Prepaid,Basic,137.82,2025-12-06,Active
SUB_00100,Customer 100,Dubai,Zone 7,Prepaid,Standard,102.03,2024-12-02,Active
SUB_00101,Customer 101,Abu Dhabi,Zone 4,Postpaid,Unlimited,363.26,2024-03-02,Active
SUB_00102,Customer 102,Abu Dhabi,Zone 7,Prepaid,Standard,112.03,2024-08-26,Active
SUB_00103,Customer 103,Dubai,Zone 6,Postpaid,Unlimited,441.21,2024-02-06,Active
SUB_00104,Customer 104,Abu Dhabi,Zone 3,Postpaid,Standard,151.4,2024-11-23,Active
SUB_00105,Customer 105,Abu Dhabi,Zone 7,Prepaid,Standard,129.65,2025-02-18,Active
SUB_00106,Customer 106,Sharjah,Zone 1,Prepaid,Basic,148.0,2024-10-05,Active
SUB_00107,Customer 107,Dubai,Zone 3,Prepaid,Basic,103.73,2024-03-12,Active
SUB_00108,Customer 108,Abu Dhabi,Zone 3,Prepaid,Standard,68.19,2024-08-08,Active
SUB_00109,Customer 109,Ajman,Zone 3,Prepaid,Standard,110.19,2025-08-07,Active
SUB_00110,Customer 110,Sharjah,Zone 2,Prepaid,Basic,58.87,2024-11-22,Active
SUB_00111,Customer 111,Abu Dhabi,Zone 2,Postpaid,Standard,133.01,2024-08-09,Active
SUB_00112,Customer 112,Dubai,Zone 7,Postpaid,Standard,187.36,2025-11-06,Suspended
SUB_00113,Customer 113,Dubai,Zone 2,Postpaid,Standard,159.73,2025-05-30,Churned
SUB_00114,Customer 114,Abu Dhabi,Zone 8,Prepaid,Standard,86.89,2025-02-13,Active
SUB_00115,Customer 115,Sharjah,Zone 6,Prepaid,Basic,118.72,2025-10-24,Active
SUB_00116,Customer 116,Sharjah,Zone 4,Prepaid,Basic,103.26,2025-04-18,Active
SUB_00117,Customer 117,Dubai,Zone 5,Prepaid,Standard,134.07,2024-05-30,Active
SUB_00118,Customer 118,Abu Dhabi,Zone 1,Postpaid,Premium,301.87,2024-10-02,Active
SUB_00119,Customer 119,Abu Dhabi,Zone 7,Prepaid,Standard,105.77,2024-05-26,Active
SUB_00120,Customer 120,Abu Dhabi,Zone 2,Prepaid,Basic,114.59,2024-09-13,Active
SUB_00121,Customer 121,Abu Dhabi,Zone 5,Prepaid,Standard,50.75,2025-08-01,Active
SUB_00122,Customer 122,Abu Dhabi,Zone 8,Prepaid,Basic,78.51,2025-07-09,Active
SUB_00123,Customer 123,Ajman,Zone 7,Prepaid,Basic,119.7,2024-09-30,Churned
SUB_00124,Customer 124,Ajman,Zone 4,Postpaid,Unlimited,472.56,2025-08-25,Active
SUB_00125,Customer 125,Dubai,Zone 3,Postpaid,Premium,280.26,2025-03-18,Active
SUB_00126,Customer 126,Sharjah,Zone 5,Prepaid,Basic,92.54,2025-08-24,Active
SUB_00127,Customer 127,Dubai,Zone 7,Postpaid,Premium,213.09,2025-02-16,Active
SUB_00128,Customer 128,Ajman,Zone 5,Prepaid,Basic,83.66,2025-01-09,Active
SUB_00129,Customer 129,Dubai,Zone 4,Prepaid,Standard,58.79,2024-08-16,Active
SUB_00130,Customer 130,Dubai,Zone 1,Prepaid,Basic,91.18,2024-05-25,Active
SUB_00131,Customer 131,Ajman,Zone 6,Postpaid,Premium,339.94,2025-06-09,Churned
SUB_00132,Customer 132,Dubai,Zone 3,Prepaid,Standard,107.45,2025-05-24,Active
SUB_00133,Customer 133,Dubai,Zone 1,Postpaid,Premium,323.77,2024-04-07,Active
SUB_00134,Customer 134,Dubai,Zone 6,Prepaid,Basic,137.72,2024-02-22,Active
SUB_00135,Customer 135,Sharjah,Zone 7,Postpaid,Unlimited,443.62,2024-04-26,Active
SUB_00136,Customer 136,Abu Dhabi,Zone 1,Prepaid,Standard,88.39,2024-06-09,Active
SUB_00137,Customer 137,Ajman,Zone 3,Prepaid,Basic,83.28,2025-10-08,Active
SUB_00138,Customer 138,Sharjah,Zone 4,Postpaid,Premium,280.02,2024-06-16,Suspended
SUB_00139,Customer 139,Sharjah,Zone 6,Postpaid,Premium,316.79,2025-12-01,Active
SUB_00140,Customer 140,Dubai,Zone 2,Postpaid,Unlimited,401.31,2025-03-12,Active
SUB_00141,Customer 141,Dubai,Zone 4,Prepaid,Standard,100.23,2025-09-06,Active
SUB_00142,Customer 142,Abu Dhabi,Zone 4,Postpaid,Premium,296.17,2024-03-10,Active
SUB_00143,Customer 143,Abu Dhabi,Zone 3,Prepaid,Standard,145.91,2025-02-02,Active
SUB_00144,Customer 144,Dubai,Zone 7,Prepaid,Standard,65.34,2025-01-29,Active
SUB_00145,Customer 145,Abu Dhabi,Zone 1,Prepaid,Standard,109.3,2025-09-06,Active
SUB_00146,Customer 146,Ajman,Zone 5,Postpaid,Premium,222.88,2025-04-28,Active
SUB_00147,Customer 147,Abu Dhabi,Zone 6,Prepaid,Basic,134.04,2025-06-29,Suspended
SUB_00148,Customer 148,Dubai,Zone 5,Postpaid,Unlimited,368.7,2024-09-18,Suspended
SUB_00149,Customer 149,Ajman,Zone 7,Prepaid,Standard,87.93,2025-07-24,Active
SUB_00150,Customer 150,Dubai,Zone 1,Prepaid,Basic,89.82,2024-01-16,Active
SUB_00151,Customer 151,Ajman,Zone 2,Prepaid,Basic,141.85,2025-12-01,Active
SUB_00152,Customer 152,Dubai,Zone 3,Prepaid,Basic,99.84,2024-05-01,Active
SUB_00153,Customer 153,Ajman,Zone 1,Postpaid,Standard,122.01,2025-12-03,Active
SUB_00154,Customer 154,Abu Dhabi,Zone 1,Postpaid,Standard,141.46,2025-07-07,Active
SUB_00155,Customer 155,Fujairah,Zone 1,Prepaid,Basic,89.73,2024-10-04,Active
SUB_00156,Customer 156,Sharjah,Zone 6,Prepaid,Basic,53.65,2025-10-22,Active
SUB_00157,Customer 157,Abu Dhabi,Zone 2,Prepaid,Standard,102.76,2024-12-18,Active
SUB_00158,Customer 158,Abu Dhabi,Zone 6,Prepaid,Basic,68.19,2024-04-28,Suspended
SUB_00159,Customer 159,Ajman,Zone 8,Prepaid,Standard,102.66,2024-10-31,Active
SUB_00160,Customer 160,Fujairah,Zone 8,Postpaid,Premium,204.06,2025-03-25,Active
SUB_00161,Customer 161,Dubai,Zone 3,Prepaid,Standard,83.93,2024-06-14,Active
SUB_00162,Customer 162,Ajman,Zone 4,Prepaid,Basic,74.32,2025-04-13,Active
SUB_00163,Customer 163,Ajman,Zone 3,Postpaid,Unlimited,371.16,2024-01-08,Active
SUB_00164,Customer 164,Dubai,Zone 2,Prepaid,Basic,70.79,2024-09-30,Active
SUB_00165,Customer 165,Dubai,Zone 4,Postpaid,Premium,336.59,2025-05-31,Active
SUB_00166,Customer 166,Dubai,Zone 7,Prepaid,Standard,76.81,2024-07-05,Active
SUB_00167,Customer 167,Abu Dhabi,Zone 6,Prepaid,Standard,71.95,2025-06-07,Churned
SUB_00168,Customer 168,Sharjah,Zone 1,Postpaid,Premium,334.18,2024-04-22,Active
SUB_00169,Customer 169,Abu Dhabi,Zone 3,Prepaid,Standard,119.88,2025-10-06,Active
SUB_00170,Customer 170,Dubai,Zone 6,Postpaid,Unlimited,428.85,2024-11-05,Active
SUB_00171,Customer 171,Dubai,Zone 3,Postpaid,Premium,322.26,2025-10-20,Active
SUB_00172,Customer 172,Dubai,Zone 5,Postpaid,Unlimited,380.96,2025-06-07,Active
SUB_00173,Customer 173,Dubai,Zone 1,Prepaid,Standard,75.07,2025-09-19,Active
SUB_00174,Customer 174,Abu Dhabi,Zone 2,Postpaid,Premium,257.47,2024-07-26,Active
SUB_00175,Customer 175,Dubai,Zone 4,Postpaid,Standard,109.03,2024-06-09,Active
SUB_00176,Customer 176,Dubai,Zone 3,Prepaid,Basic,121.9,2025-01-21,Active
SUB_00177,Customer 177,Abu Dhabi,Zone 2,Prepaid,Standard,63.5,2024-06-18,Active
SUB_00178,Customer 178,Dubai,Zone 7,Prepaid,Standard,55.14,2025-07-10,Active
SUB_00179,Customer 179,Abu Dhabi,Zone 2,Postpaid,Premium,251.66,2025-07-01,Active
SUB_00180,Customer 180,Abu Dhabi,Zone 5,Postpaid,Premium,236.96,2024-01-05,Active
SUB_00181,Customer 181,Sharjah,Zone 4,Postpaid,Standard,110.31,2025-09-09,Active
SUB_00182,Customer 182,Sharjah,Zone 1,Prepaid,Standard,94.6,2024-12-01,Active
SUB_00183,Customer 183,Abu Dhabi,Zone 8,Postpaid,Premium,313.86,2025-05-19,Active
SUB_00184,Customer 184,Abu Dhabi,Zone 8,prepaid,Basic,72.12,2024-01-24,Churned
SUB_00185,Customer 185,Ajman,Zone 7,Prepaid,Standard,149.94,2024-04-28,Active
SUB_00186,Customer 186,Abu Dhabi,Zone 7,Prepaid,Standard,79.73,2025-01-10,Suspended
SUB_00187,Customer 187,Fujairah,Zone 7,Postpaid,Premium,208.23,2024-11-14,Active
SUB_00188,Customer 188,Abu Dhabi,Zone 7,Prepaid,Standard,73.0,2024-09-06,Active
SUB_00189,Customer 189,Dubai,Zone 5,Prepaid,Basic,90.45,2024-03-04,Active
SUB_00190,Customer 190,Sharjah,Zone 4,Postpaid,Standard,162.59,2024-09-07,Suspended
SUB_00191,Customer 191,Abu Dhabi,Zone 6,Prepaid,Basic,149.03,2025-08-07,Active
SUB_00192,Customer 192,Dubai,Zone 2,Postpaid,Premium,349.69,2024-03-25,Active
SUB_00193,Customer 193,Sharjah,Zone 5,Prepaid,Basic,108.08,2024-04-01,Active
SUB_00194,Customer 194,Abu Dhabi,Zone 6,Prepaid,Basic,123.76,2025-05-16,Active
SUB_00195,Customer 195,Dubai,Zone 6,Prepaid,Standard,121.56,2024-03-15,Active
SUB_00196,Customer 196,Dubai,Zone 5,Postpaid,Premium,257.65,2025-07-03,Active
SUB_00197,Customer 197,Dubai,Zone 2,Postpaid,Standard,158.86,2024-05-12,Churned
SUB_00198,Customer 198,Ajman,Zone 8,Prepaid,Standard,66.7,2024-05-15,Churned
SUB_00199,Customer 199,Dubai,Zone 4,Postpaid,Standard,183.06,2025-11-10,Active
SUB_00200,Customer 200,Dubai,Zone 1,Prepaid,Basic,127.96,2025-05-05,Active
SUB_00201,Customer 201,Dubai,Zone 7,Prepaid,Standard,109.73,2025-07-20,Active
SUB_00202,Customer 202,Dubai,Zone 3,Postpaid,Premium,223.08,2024-06-22,Active
SUB_00203,Customer 203,Dubai,Zone 8,Postpaid,Standard,189.49,2024-10-02,Suspended
SUB_00204,Customer 204,Abu Dhabi,Zone 8,Prepaid,Basic,138.87,2025-06-28,Churned
SUB_00205,Customer 205,Ajman,Zone 1,Prepaid,Standard,123.52,2025-09-17,Active
SUB_00206,Customer 206,Dubai,Zone 6,Prepaid,Standard,99.59,2025-03-13,Active
SUB_00207,Customer 207,Dubai,Zone 5,Postpaid,Unlimited,359.23,2024-08-08,Suspended
SUB_00208,Customer 208,Abu Dhabi,Zone 3,Postpaid,Standard,167.8,2025-07-10,Active
SUB_00209,Customer 209,Dubai,Zone 6,PREPAID,Standard,74.53,2025-12-11,Active
SUB_00210,Customer 210,Dubai,Zone 5,Postpaid,Premium,302.02,2024-07-28,Active
SUB_00211,Customer 211,Sharjah,Zone 7,Postpaid,Unlimited,419.82,2026-01-04,Suspended
SUB_00212,Customer 212,Dubai,Zone 8,Prepaid,Standard,66.08,2024-11-19,Active
SUB_00213,Customer 213,Sharjah,Zone 5,Prepaid,Basic,58.41,2025-02-16,Active
SUB_00214,Customer 214,Abu Dhabi,Zone 8,Prepaid,Standard,104.0,2025-11-22,Active
SUB_00215,Customer 215,Dubai,Zone 6,Prepaid,Basic,134.01,2025-10-31,Active
SUB_00216,Customer 216,Dubai,Zone 5,Prepaid,Standard,118.79,2025-01-21,Active
SUB_00217,Customer 217,Dubai,Zone 1,Postpaid,Premium,271.04,2025-03-28,Active
SUB_00218,Customer 218,Dubai,Zone 2,Postpaid,Unlimited,495.33,2025-06-17,Active
SUB_00219,Customer 219,Dubai,Zone 5,Prepaid,Basic,132.15,2025-04-11,Active
SUB_00220,Customer 220,Sharjah,Zone 3,Postpaid,Premium,241.04,2024-05-07,Churned
SUB_00221,Customer 221,Abu Dhabi,Zone 5,Postpaid,Premium,323.89,2024-09-14,Active
SUB_00222,Customer 222,Sharjah,Zone 7,Postpaid,Premium,240.99,2024-08-22,Churned
SUB_00223,Customer 223,Dubai,Zone 4,Postpaid,Unlimited,478.6,2024-03-10,Churned
SUB_00224,Customer 224,Sharjah,Zone 5,Postpaid,Premium,334.11,2024-12-16,Active
SUB_00225,Customer 225,Dubai,Zone 8,Postpaid,Premium,284.41,2024-01-26,Active
SUB_00226,Customer 226,Abu Dhabi,Zone 4,Prepaid,Standard,127.66,2025-08-29,Active
SUB_00227,Customer 227,Sharjah,Zone 4,Prepaid,Standard,79.42,2025-07-25,Suspended
SUB_00228,Customer 228,Fujairah,Zone 4,Postpaid,Premium,217.6,2024-08-27,Active
SUB_00229,Customer 229,Sharjah,Zone 4,Prepaid,Basic,66.08,2025-08-29,Active
SUB_00230,Customer 230,Dubai,Zone 2,Postpaid,Standard,145.52,2024-08-17,Active
SUB_00231,Customer 231,Dubai,Zone 8,Prepaid,Standard,122.19,2024-01-12,Active
SUB_00232,Customer 232,Sharjah,Zone 4,Postpaid,Standard,148.05,2024-03-17,Active
SUB_00233,Customer 233,Dubai,Zone 1,Prepaid,Basic,98.24,2025-12-29,Active
SUB_00234,Customer 234,Dubai,Zone 8,Prepaid,Basic,101.77,2025-10-12,Active
SUB_00235,Customer 235,Abu Dhabi,Zone 1,Postpaid,Standard,132.21,2024-03-05,Churned
SUB_00236,Customer 236,Dubai,Zone 2,Postpaid,Standard,116.75,2024-08-26,Active
SUB_00237,Customer 237,Abu Dhabi,Zone 3,Postpaid,Premium,292.49,2024-03-14,Active
SUB_00238,Customer 238,Dubai,Zone 4,Postpaid,Premium,320.26,2024-02-06,Active
SUB_00239,Customer 239,Sharjah,Zone 7,Postpaid,Premium,289.62,2024-12-08,Active
SUB_00240,Customer 240,Abu Dhabi,Zone 7,Prepaid,Standard,58.16,2024-03-17,Active
SUB_00241,Customer 241,Dubai,Zone 5,Prepaid,Standard,82.9,2025-06-14,Active
SUB_00242,Customer 242,Sharjah,Zone 5,Postpaid,Premium,274.73,2024-09-04,Active
SUB_00243,Customer 243,Sharjah,Zone 6,Prepaid,Standard,99.33,2024-10-16,Active
SUB_00244,Customer 244,Abu Dhabi,Zone 5,Prepaid,Basic,75.77,2025-11-20,Active
SUB_00245,Customer 245,Ajman,Zone 7,Prepaid,Standard,112.88,2025-05-16,Active
SUB_00246,Customer 246,Sharjah,Zone 4,Prepaid,Standard,107.87,2024-08-11,Active
SUB_00247,Customer 247,Sharjah,Zone 8,Postpaid,Premium,318.94,2025-07-10,Active
SUB_00248,Customer 248,Fujairah,Zone 2,Postpaid,Standard,162.3,2024-05-19,Active
SUB_00249,Customer 249,Sharjah,Zone 3,Postpaid,Premium,290.28,2025-08-11,Active
SUB_00250,Customer 250,Abu Dhabi,Zone 2,Prepaid,Standard,99.23,2025-08-17,Active
SUB_00251,Customer 251,Ajman,Zone 7,Prepaid,Standard,116.26,2025-05-03,Active
SUB_00252,Customer 252,Sharjah,Zone 1,Postpaid,Standard,165.67,2024-09-09,Active
SUB_00253,Customer 253,Sharjah,Zone 8,Prepaid,Basic,73.47,2025-05-03,Suspended
SUB_00254,Customer 254,Abu Dhabi,Zone 8,Prepaid,Basic,132.89,2025-02-24,Active
SUB_00255,Customer 255,Dubai,Zone 3,Postpaid,Standard,135.93,2024-07-17,Active
SUB_00256,Customer 256,Abu Dhabi,Zone 7,Postpaid,Premium,326.63,2024-04-10,Active
SUB_00257,Customer 257,Abu Dhabi,Zone 7,Prepaid,Standard,53.42,2024-04-13,Churned
SUB_00258,Customer 258,Dubai,Zone 5,Postpaid,Standard,112.21,2025-11-09,Active
SUB_00259,Customer 259,Ajman,Zone 5,Prepaid,Standard,118.82,2025-03-21,Active
SUB_00260,Customer 260,Abu Dhabi,Zone 3,Prepaid,Standard,113.91,2025-01-01,Suspended
SUB_00261,Customer 261,Abu Dhabi,Zone 7,Prepaid,Basic,103.22,2025-03-13,Active
SUB_00262,Customer 262,Dubai,Zone 4,Postpaid,Standard,167.34,2025-02-28,Churned
SUB_00263,Customer 263,Dubai,Zone 8,Prepaid,Basic,146.33,2025-04-27,Active
SUB_00264,Customer 264,Sharjah,Zone 7,Postpaid,Premium,274.58,2024-02-29,Active
SUB_00265,Customer 265,Ajman,Zone 8,Postpaid,Standard,179.55,2025-11-24,Suspended
SUB_00266,Customer 266,Abu Dhabi,Zone 7,Postpaid,Standard,165.12,2025-11-04,Active
SUB_00267,Customer 267,Sharjah,Zone 2,Postpaid,Standard,186.64,2025-10-27,Churned
SUB_00268,Customer 268,Sharjah,Zone 5,Prepaid,Standard,137.85,2024-04-14,Active
SUB_00269,Customer 269,Dubai,Zone 6,Prepaid,Standard,137.79,2024-03-07,Active
SUB_00270,Customer 270,Ajman,Zone 1,Prepaid,Standard,50.58,2025-02-20,Active
SUB_00271,Customer 271,Abu Dhabi,Zone 7,Prepaid,Basic,104.85,2024-12-17,Active
SUB_00272,Customer 272,Abu Dhabi,Zone 3,Prepaid,Basic,110.34,2024-04-25,Active
SUB_00273,Customer 273,AD,Zone 6,Prepaid,Standard,145.15,2024-09-15,Active
SUB_00274,Customer 274,Ajman,Zone 5,Prepaid,Basic,89.88,2024-07-19,Active
SUB_00275,Customer 275,Abu Dhabi,Zone 7,Prepaid,Standard,124.69,2024-07-17,Active
SUB_00276,Customer 276,Abu Dhabi,Zone 5,Prepaid,Basic,114.75,2025-07-07,Suspended
SUB_00277,Customer 277,Dubai,Zone 3,Prepaid,Basic,97.92,2025-04-08,Active
SUB_00278,Customer 278,Dubai,Zone 4,Prepaid,Basic,80.73,2024-05-27,Active
SUB_00279,Customer 279,Abu Dhabi,Zone 8,Prepaid,Standard,89.99,2025-03-12,Churned
