ticket_id,subscriber_id,ticket_date,ticket_channel,ticket_category,priority,status,resolution_date,sla_target_hours,assigned_team,zone,city
TKT_000034,SUB_02902,2025-12-25,Online Chat,Network Issue,Low,Resolved,2025-12-26,24,Tier 1,Zone 8,Dubai
TKT_000035,SUB_04790,2025-11-18,App,Technical Support,Medium,Resolved,2025-11-20,48,Tier 2,Zone 1,Sharjah
TKT_000036,SUB_02910,2025-10-12,App,Network Issue,Medium,Resolved,2025-10-15,72,Tier 1,Zone 3,Fujairah
TKT_000037,SUB_04878,2025-10-17,Call Center,Plan Change,High,Resolved,2025-10-20,24,Tier 1,Zone 8,Dubai
TKT_000038,SUB_02505,2026-01-03,Call Center,Network Issue,Critical,Resolved,2026-01-03,24,Tier 2,Zone 4,Sharjah
TKT_000039,SUB_00600,2025-09-16,Call Center,Billing Query,Medium,In Progress,,24,Tier 1,Zone 4,Sharjah
TKT_000040,SUB_04781,2026-01-02,Online Chat,Network Issue,High,Resolved,2026-01-04,48,Tier 1,Zone 3,Sharjah
TKT_000041,SUB_03237,2025-10-19,Online Chat,Network Issue,Medium,Resolved,2025-10-23,48,Tier 2,Zone 8,Dubai
TKT_000042,SUB_03597,2025-12-17,Retail Store,Billing Query,High,In Progress,,24,Tier 2,Zone 2,Dubai
TKT_000043,SUB_00741,2025-10-08,Call Center,Network Issue,Medium,Resolved,2025-10-11,48,Tier 1,Zone 2,Dubai
TKT_000044,SUB_02089,2025-11-13,Call Center,Billing Query,Medium,In Progress,,24,Tier 2,Zone 3,Dubai
TKT_000045,SUB_04484,2025-12-23,Call Center,Complaint,Low,Resolved,2025-12-27,24,Tier 3,Zone 3,Dubai
TKT_000046,SUB_04136,2025-11-07,Call Center,Network Issue,Medium,Resolved,2025-11-08,24,Tier 1,Zone 2,Abu Dhabi
TKT_000047,SUB_01337,2025-11-07,Online Chat,Technical Support,Medium,Resolved,2025-11-11,24,Tier 1,Zone 3,Sharjah
TKT_000048,SUB_03708,2025-10-26,App,Technical Support,Medium,Resolved,,48,Tier 1,Zone 3,Dubai
TKT_000049,SUB_03181,2025-11-04,App,Billing Query,Medium,Resolved,2025-11-07,72,Tier 3,Zone 8,Ajman
TKT_000050,SUB_04795,2025-11-09,Retail Store,Technical Support,Medium,Resolved,2025-11-10,24,Tier 2,Zone 1,Dubai
TKT_000051,SUB_01922,2025-11-11,Call Center,Billing Query,High,Resolved,2025-11-15,24,Tier 1,Zone 7,Abu Dhabi
TKT_000052,SUB_02909,2025-11-04,App,Billing Query,Low,Open,,48,Tier 2,Zone 8,Ajman
TKT_000053,SUB_00113,2025-10-03,Retail Store,Billing Query,Medium,Resolved,2025-10-06,48,Tier 2,Zone 2,Dubai
TKT_000054,SUB_01193,2025-10-22,Call Center,Network Issue,Medium,Resolved,2025-10-22,24,Tier 2,Zone 7,Abu Dhabi
TKT_000055,SUB_04641,2025-11-05,App,Technical Support,Medium,Resolved,2025-11-08,48,Tier 3,Zone 7,Abu Dhabi
TKT_000056,SUB_03656,2025-10-14,App,Plan Change,Medium,Resolved,2025-10-14,24,Tier 3,Zone 1,Abu Dhabi
TKT_000057,SUB_04405,2025-11-23,Call Center,Plan Change,Low,Resolved,2025-11-26,48,Tier 3,Zone 7,Dubai
TKT_000058,SUB_03501,2025-12-28,Call Center,Network Issue,Low,In Progress,,48,Tier 2,Zone 7,Sharjah
TKT_000059,SUB_00739,2025-11-08,Call Center,Plan Change,Medium,Resolved,2025-11-12,72,Tier 2,Zone 1,Fujairah
TKT_000060,SUB_03197,2025-11-29,App,Network Issue,Critical,Resolved,2025-11-29,24,Tier 1,Zone 6,Dubai
TKT_000061,SUB_04506,2025-11-24,Call Center,Complaint,Low,Resolved,2025-11-28,48,Tier 2,Zone 5,Sharjah
TKT_000062,SUB_03732,2025-09-09,Call Center,Technical Support,Medium,In Progress,,48,Tier 3,Zone 6,Dubai
TKT_000063,SUB_01441,2025-11-15,Call Center,Technical Support,Medium,Resolved,2025-11-16,48,Field Ops,Zone 4,Abu Dhabi
TKT_000064,SUB_01587,2025-10-25,Call Center,Network Issue,High,Resolved,2025-10-25,72,Tier 2,Zone 4,Abu Dhabi
TKT_000065,SUB_02817,2025-12-12,Online Chat,Network Issue,Critical,Resolved,2025-12-16,48,Tier 1,Zone 3,Dubai
TKT_000066,SUB_04001,2025-11-08,App,Complaint,Critical,In Progress,,48,Tier 2,Zone 5,Sharjah
TKT_000067,SUB_02937,2025-10-24,Online Chat,Network Issue,Medium,RESOLVED,2025-10-25,72,Tier 3,Zone 6,Abu Dhabi
TKT_000068,SUB_00953,2025-10-02,Online Chat,Network Issue,Medium,Resolved,2025-10-06,48,Tier 2,Zone 7,Sharjah
TKT_000069,SUB_02722,2025-10-14,App,Technical Support,Low,Resolved,2025-10-18,48,Tier 2,Zone 3,Abu Dhabi
TKT_000070,SUB_03528,2025-10-23,Call Center,Technical Support,Critical,Resolved,2025-10-24,24,Tier 2,Zone 6,Abu Dhabi
TKT_000071,SUB_03550,2025-11-23,App,Plan Change,Medium,Resolved,2025-11-25,24,Tier 1,Zone 1,Abu Dhabi
TKT_000072,SUB_01809,2025-12-28,Online Chat,Network Issue,Medium,Resolved,2025-12-28,48,Field Ops,Zone 7,Dubai
TKT_000073,SUB_03561,2025-11-03,App,Network Issue,Low,Resolved,2025-11-05,24,Tier 2,Zone 5,Sharjah
TKT_000074,SUB_03382,2025-11-25,Call Center,Network Issue,Medium,In Progress,,48,Tier 1,Zone 5,Dubai
TKT_000075,SUB_01131,2025-12-08,Call Center,Billing Query,Medium,Resolved,2025-12-11,72,Field Ops,Zone 6,Sharjah
TKT_000076,SUB_04078,2025-12-28,Online Chat,Network Issue,Medium,Resolved,2026-01-01,72,Tier 2,Zone 5,Abu Dhabi
TKT_000077,SUB_02658,2025-10-23,App,Network Issue,Medium,Resolved,2025-10-25,48,Tier 2,Zone 4,Dubai
TKT_000078,SUB_00611,2025-12-24,App,Technical Support,Medium,In Progress,,24,Tier 1,Zone 2,Dubai
TKT_000079,SUB_02231,2025-11-14,Call Center,Billing Query,Medium,Resolved,2025-11-15,24,Tier 1,Zone 1,Abu Dhabi
TKT_000080,SUB_03056,2025-10-07,Call Center,Technical Support,Medium,Open,,72,Field Ops,Zone 6,Sharjah
TKT_000081,SUB_01802,2025-12-03,Retail Store,Billing Query,Low,In Progress,,48,Tier 1,Zone 1,Fujairah
TKT_000082,SUB_01372,2026-01-03,Retail Store,Billing Query,High,In Progress,,48,Tier 1,Zone 3,Ajman
TKT_000083,SUB_03027,2026-01-01,Online Chat,Billing Query,Medium,Resolved,2026-01-03,24,Tier 2,Zone 1,Abu Dhabi
TKT_000084,SUB_04617,2026-01-02,App,Network Issue,Medium,Open,,48,Tier 2,Zone 2,Sharjah
TKT_000085,SUB_00161,2025-09-28,Retail Store,Billing Query,Low,Resolved,2025-09-30,24,Tier 3,Zone 3,Dubai
TKT_000086,SUB_04283,2025-09-18,Call Center,Complaint,Medium,In Progress,,48,Tier 2,Zone 8,Dubai
TKT_000087,SUB_03373,2025-12-27,Call Center,Technical Support,Low,Resolved,,48,Tier 1,Zone 6,Abu Dhabi
TKT_000088,SUB_00407,2025-10-11,Retail Store,Billing Query,Medium,Resolved,2025-10-13,48,Tier 2,Zone 1,Ajman
TKT_000089,SUB_01753,2025-11-21,App,Network Issue,Medium,In Progress,,24,Tier 1,Zone 5,Ajman
TKT_000090,SUB_02317,2025-12-23,Call Center,Technical Support,High,Resolved,2025-12-27,72,Tier 3,Zone 3,Ajman
TKT_000091,SUB_04259,2025-12-15,App,Network Issue,High,Resolved,2025-12-17,48,Tier 1,Zone 2,Abu Dhabi
TKT_000092,SUB_00572,2026-01-01,Call Center,Plan Change,Low,Escalated,,72,Tier 3,Zone 5,Abu Dhabi
TKT_000093,SUB_00242,2025-11-16,Call Center,Billing Query,Low,Resolved,2025-11-16,48,Tier 3,Zone 5,Sharjah
TKT_000094,SUB_02455,2025-12-18,App,Technical Support,High,Open,,48,Tier 2,Zone 5,Dubai
TKT_000095,SUB_04582,2025-12-14,Call Center,Plan Change,Medium,Resolved,2025-12-18,24,Tier 2,Zone 8,Fujairah
TKT_000096,SUB_03270,2025-10-14,Retail Store,Technical Support,Medium,In Progress,,72,Tier 1,Zone 2,Dubai
TKT_000097,SUB_00236,2025-10-25,Retail Store,Billing Query,High,Resolved,2025-10-29,48,Tier 2,Zone 2,Dubai
TKT_000098,SUB_01092,2025-10-08,App,Plan Change,Low,Resolved,2025-10-10,72,Tier 2,Zone 5,Abu Dhabi
TKT_000099,SUB_04000,2025-09-12,Retail Store,Technical Support,Medium,Resolved,2025-09-14,48,Tier 2,Zone 4,Sharjah
TKT_000100,SUB_04294,2025-12-07,Call Center,Network Issue,Medium,Resolved,2025-12-10,72,Tier 3,Zone 7,Dubai
TKT_000101,SUB_01720,2025-10-05,Call Center,Billing Query,Medium,Resolved,2025-10-09,48,Tier 2,Zone 2,Dubai
TKT_000102,SUB_04887,2025-09-15,Call Center,Billing Query,Medium,In Progress,,48,Tier 1,Zone 6,Sharjah
TKT_000103,SUB_04913,2025-10-24,Call Center,Complaint,High,RESOLVED,2025-10-24,48,Field Ops,Zone 1,Sharjah
TKT_000104,SUB_04172,2025-12-29,Online Chat,Billing Query,High,Resolved,2025-12-31,72,Tier 1,Zone 8,Fujairah
TKT_000105,SUB_02480,2025-12-18,App,Plan Change,High,Resolved,2025-12-18,24,Tier 3,Zone 5,Abu Dhabi
TKT_000106,SUB_04897,2025-11-10,App,Plan Change,Medium,Resolved,2025-11-10,48,Tier 1,Zone 1,Dubai
TKT_000107,SUB_04427,2025-09-08,App,Network Issue,Medium,Resolved,2025-09-12,72,Tier 3,Zone 4,Abu Dhabi
TKT_000108,SUB_04462,2025-12-15,Retail Store,Technical Support,Medium,Resolved,2025-12-18,24,Tier 2,Zone 7,Ajman
TKT_000109,SUB_02962,2026-01-03,Call Center,Billing Query,Low,Resolved,2026-01-03,24,Tier 2,Zone 2,Sharjah
TKT_000110,SUB_04786,2025-11-14,Call Center,Complaint,Low,In Progress,,48,Tier 3,Zone 6,Sharjah
TKT_000111,SUB_01754,2025-11-21,Call Center,Billing Query,Critical,Resolved,2025-11-21,48,Tier 1,Zone 2,Sharjah
TKT_000112,SUB_02996,2025-10-09,Call Center,Technical Support,Low,Resolved,2025-10-13,48,Tier 1,Zone 6,Sharjah
TKT_000113,SUB_01818,2025-09-26,Online Chat,Billing Query,Critical,Open,,48,Tier 1,Zone 1,Ajman
TKT_000114,SUB_00092,2025-11-04,App,Network Issue,High,Escalated,,48,Tier 3,Zone 1,Dubai
TKT_000115,SUB_03198,2025-12-21,Online Chat,Network Issue,Low,In Progress,,48,Tier 1,Zone 5,Sharjah
TKT_000116,SUB_03725,2025-11-09,Call Center,Technical Support,Low,Resolved,2025-11-11,48,Tier 1,Zone 8,Ajman
TKT_000117,SUB_01250,2025-11-16,Call Center,Network Issue,Low,In Progress,,24,Tier 1,Zone 1,Dubai
TKT_000118,SUB_01963,2025-11-29,App,Network Issue,High,Resolved,2025-11-29,72,Field Ops,Zone 5,Dubai
TKT_000119,SUB_00507,2025-09-20,Call Center,Technical Support,Critical,Resolved,2025-09-22,24,Tier 1,Zone 3,Sharjah
TKT_000120,SUB_00853,2025-10-01,Call Center,Billing Query,Medium,Resolved,2025-10-05,24,Tier 3,Zone 6,Dubai
TKT_000121,SUB_04813,2025-12-04,Call Center,Network Issue,Medium,Resolved,2025-12-06,48,Tier 1,Zone 8,Dubai
TKT_000122,SUB_04491,2025-09-16,Call Center,Technical Support,Critical,Escalated,,72,Tier 1,Zone 8,Dubai
TKT_000123,SUB_01360,2025-12-05,App,Technical Support,Medium,Resolved,2025-12-09,24,Tier 1,Zone 4,Sharjah
TKT_000124,SUB_00079,2025-12-13,Call Center,Network Issue,Medium,Open,,72,Tier 1,Zone 4,Dubai
TKT_000125,SUB_01274,2025-12-05,App,Technical Support,Medium,In Progress,,48,Tier 1,Zone 5,Abu Dhabi
TKT_000126,SUB_01007,2025-12-03,Call Center,Billing Query,Medium,Resolved,2025-12-04,72,Tier 2,Zone 1,Sharjah
TKT_000127,SUB_01502,2025-10-05,Online Chat,Network Issue,High,Resolved,2025-10-07,48,Tier 1,Zone 1,Dubai
TKT_000128,SUB_04512,2025-11-30,App,Network Issue,Medium,Resolved,2025-12-01,48,Tier 2,Zone 3,Dubai
TKT_000129,SUB_04205,2025-11-20,App,Billing Query,Low,Open,,48,Tier 1,Zone 1,Dubai
TKT_000130,SUB_03127,2025-09-20,Call Center,Network Issue,Low,Escalated,,48,Tier 1,Zone 2,Abu Dhabi
TKT_000131,SUB_00125,2025-12-19,Online Chat,Billing Query,Low,Open,,72,Tier 2,Zone 3,Dubai
TKT_000132,SUB_00181,2025-11-11,Call Center,Network Issue,Critical,Resolved,2025-11-11,72,Tier 1,Zone 4,Sharjah
TKT_000133,SUB_03640,2025-11-12,Online Chat,Network Issue,Medium,Open,,48,Tier 2,Zone 7,Sharjah
TKT_000134,SUB_01590,2025-09-14,App,Network Issue,Low,Resolved,2025-09-15,24,Tier 2,Zone 3,Dubai
TKT_000135,SUB_02507,2025-10-28,App,Complaint,Medium,Resolved,2025-11-01,72,Tier 1,Zone 8,Dubai
TKT_000136,SUB_01682,2025-09-19,App,Network Issue,High,Resolved,2025-09-22,24,Tier 1,Zone 5,Abu Dhabi
TKT_000137,SUB_02579,2025-11-26,App,Billing Query,Critical,Resolved,2025-11-30,48,Tier 3,Zone 4,Dubai
TKT_000138,SUB_04886,2025-11-20,Call Center,Network Issue,High,Resolved,2025-11-20,48,Tier 3,Zone 4,Abu Dhabi
TKT_000139,SUB_02808,2025-10-19,App,Network Issue,Medium,Resolved,2025-10-22,72,Tier 2,Zone 6,Ajman
TKT_000140,SUB_00965,2026-01-02,Call Center,Billing Query,Low,Resolved,2026-01-05,72,Tier 1,Zone 1,Sharjah
TKT_000141,SUB_02450,2025-09-14,Call Center,Billing Query,High,In Progress,,72,Tier 3,Zone 3,Abu Dhabi
TKT_000142,SUB_04657,2025-10-21,App,Technical Support,Critical,Escalated,,48,Tier 3,Zone 4,Sharjah
TKT_000143,SUB_02067,2025-10-03,Retail Store,Billing Query,Medium,Resolved,2025-10-07,48,Tier 1,Zone 7,Abu Dhabi
TKT_000144,SUB_03645,2025-12-29,Online Chat,Plan Change,Medium,Escalated,,48,Tier 3,Zone 6,Sharjah
TKT_000145,SUB_04865,2025-12-09,Call Center,Billing Query,Critical,Resolved,2025-12-11,24,Field Ops,Zone 4,Dubai
TKT_000146,SUB_03931,2025-10-27,Call Center,Technical Support,Low,Resolved,2025-10-19 00:00:00,48,Tier 1,Zone 7,Dubai
TKT_000147,SUB_01581,2025-09-30,App,Plan Change,Medium,Resolved,2025-10-02,48,Tier 1,Zone 8,Abu Dhabi
TKT_000148,SUB_00691,2025-12-07,App,Network Issue,Medium,Open,,48,Tier 3,Zone 4,Sharjah
TKT_000149,SUB_00920,2025-11-08,Call Center,Network Issue,Low,Resolved,2025-11-09,24,Tier 1,Zone 8,Abu Dhabi
TKT_000150,SUB_01316,2025-12-20,App,Plan Change,Low,In Progress,,48,Tier 1,Zone 3,Dubai
TKT_000151,SUB_01170,2025-12-03,Call Center,Network Issue,Medium,Resolved,2025-12-03,48,Tier 2,Zone 7,Dubai
TKT_000152,SUB_02830,2025-09-16,Retail Store,Network Issue,High,Resolved,2025-09-20,48,Tier 1,Zone 4,Dubai
TKT_000153,SUB_03462,2025-12-22,Online Chat,Technical Support,Medium,Closed,2025-12-23,24,Tier 3,Zone 5,Dubai
TKT_000154,SUB_02771,2025-11-27,Online Chat,Technical Support,Medium,In Progress,,48,Tier 3,Zone 2,Abu Dhabi
TKT_000155,SUB_03367,2025-09-23,Call Center,Network Issue,High,Resolved,2025-09-27,24,Tier 2,Zone 4,Ajman
TKT_000156,SUB_04894,2025-09-26,App,Billing Query,Medium,In Progress,,48,Tier 1,Zone 7,Ajman
TKT_000157,SUB_02055,2025-11-20,App,Complaint,Medium,Open,,72,Field Ops,Zone 1,Dubai
TKT_000158,SUB_00307,2025-11-21,Online Chat,Network Issue,Low,Resolved,2025-11-22,48,Tier 2,Zone 1,Sharjah
TKT_000159,SUB_01147,2025-11-04,Call Center,Network Issue,Critical,Resolved,2025-11-04,48,Tier 3,Zone 6,Sharjah
TKT_000160,SUB_01284,2025-09-15,Call Center,Plan Change,High,Open,,48,Tier 2,Zone 6,Abu Dhabi
TKT_000161,SUB_02203,2025-12-15,Call Center,Billing Query,High,Closed,2025-12-17,48,Field Ops,Zone 7,Sharjah
TKT_000162,SUB_01188,2025-09-13,Call Center,Network Issue,Medium,Resolved,2025-09-13,48,Tier 3,Zone 5,Abu Dhabi
TKT_000163,SUB_01111,2025-11-11,Call Center,Billing Query,Medium,Open,,48,Tier 1,Zone 8,Dubai
TKT_000164,SUB_03185,2025-09-14,App,Complaint,Medium,Resolved,2025-09-14,72,Tier 2,Zone 5,Dubai
TKT_000165,SUB_01931,2025-09-19,Call Center,Network Issue,Medium,In Progress,,72,Tier 2,Zone 8,Abu Dhabi
TKT_000166,SUB_04890,2025-09-20,Online Chat,Network Issue,Medium,Resolved,2025-09-22,48,Tier 2,Zone 1,Dubai
TKT_000167,SUB_03440,2025-12-01,App,Technical Support,Medium,In Progress,,48,Tier 2,Zone 3,Abu Dhabi
TKT_000168,SUB_01983,2026-01-04,Call Center,Network Issue,Low,Resolved,2026-01-04,72,Field Ops,Zone 7,Abu Dhabi
TKT_000169,SUB_00396,2025-10-05,Call Center,Billing Query,Medium,Resolved,2025-10-06,24,Tier 2,Zone 4,Dubai
TKT_000170,SUB_04996,2025-10-13,Call Center,Technical Support,Low,Resolved,2025-10-16,72,Tier 1,Zone 8,Sharjah
TKT_000171,SUB_02844,2025-11-10,Call Center,Technical Support,Medium,Resolved,2025-11-14,48,Tier 1,Zone 3,Abu Dhabi
TKT_000172,SUB_02922,2025-09-25,Online Chat,Technical Support,Medium,Resolved,2025-09-28,24,Tier 1,Zone 2,Abu Dhabi
TKT_000173,SUB_02683,2025-10-03,Call Center,Network Issue,Low,Resolved,2025-10-06,72,Tier 3,Zone 1,Dubai
TKT_000174,SUB_03252,2025-12-20,App,Network Issue,High,Resolved,2025-12-24,72,Tier 1,Zone 6,Sharjah
TKT_000175,SUB_04166,2025-10-29,App,Billing Query,Critical,In Progress,,24,Tier 2,Zone 4,Abu Dhabi
TKT_000176,SUB_01956,2025-12-08,Retail Store,Technical Support,High,Resolved,2025-12-09,24,Tier 3,Zone 8,Sharjah
TKT_000177,SUB_03390,2025-09-13,App,Network Issue,Low,Closed,2025-09-16,24,Field Ops,Zone 2,Abu Dhabi
TKT_000178,SUB_01957,2025-09-19,App,Technical Support,Medium,Resolved,2025-09-23,48,Tier 3,Zone 1,Dubai
TKT_000179,SUB_04754,2025-11-19,Call Center,Billing Query,Medium,Resolved,2025-11-21,48,Tier 2,Zone 7,Sharjah
TKT_000180,SUB_00426,2025-10-09,App,Billing Query,Low,In Progress,,72,Tier 1,Zone 7,Dubai
TKT_000181,SUB_01286,2025-09-25,Online Chat,Plan Change,Low,Escalated,,48,Tier 1,Zone 2,Dubai
TKT_000182,SUB_04911,2025-12-23,Retail Store,Network Issue,Low,Open,,72,Tier 1,Zone 5,Dubai
TKT_000183,SUB_03864,2025-10-21,Retail Store,Technical Support,Medium,In Progress,,24,Tier 2,Zone 1,Dubai
TKT_000184,SUB_03362,2025-11-24,Call Center,Network Issue,Low,Resolved,2025-11-26,48,Tier 3,Zone 5,Sharjah
TKT_000185,SUB_01338,2025-10-05,Retail Store,Billing Query,Low,In Progress,,24,Field Ops,Zone 1,Fujairah
TKT_000186,SUB_01567,2025-12-18,App,Network Issue,Medium,Resolved,,48,Tier 3,Zone 6,Dubai
TKT_000187,SUB_00268,2025-11-22,Call Center,Network Issue,High,In Progress,,24,Tier 2,Zone 5,Sharjah
TKT_000188,SUB_04369,2025-10-16,App,Technical Support,Critical,In Progress,,48,Tier 1,Zone 4,Abu Dhabi
TKT_000189,SUB_00215,2025-09-28,Call Center,Billing Query,Medium,Open,,24,Tier 1,Zone 6,Dubai
TKT_000190,SUB_02594,2025-11-09,Online Chat,Network Issue,Medium,Resolved,2025-11-11,24,Tier 2,Zone 2,Ajman
TKT_000191,SUB_00842,2025-12-19,App,Technical Support,Medium,Resolved,2025-12-20,24,Field Ops,Zone 7,Dubai
TKT_000192,SUB_01421,2025-10-25,Retail Store,Billing Query,Medium,Resolved,2025-10-26,48,Tier 1,Zone 1,Dubai
TKT_000193,SUB_02274,2025-12-05,Call Center,Network Issue,Medium,Resolved,2025-12-07,48,Tier 3,Zone 5,Dubai
TKT_000194,SUB_01765,2025-10-20,Call Center,Network Issue,Medium,Resolved,2025-10-21,72,Tier 3,Zone 3,Sharjah
TKT_000195,SUB_03497,2025-09-12,Online Chat,Network Issue,Medium,In Progress,,24,Tier 1,Zone 7,Dubai
TKT_000196,SUB_04531,2025-11-01,Online Chat,Billing Query,Medium,In Progress,,24,Tier 2,Zone 2,Abu Dhabi
TKT_000197,SUB_04932,2025-11-12,Retail Store,Complaint,Medium,Resolved,2025-11-12,24,Tier 2,Zone 1,Sharjah
TKT_000198,SUB_03995,2025-10-12,App,Billing Query,Low,In Progress,,48,Field Ops,Zone 1,Sharjah
TKT_000199,SUB_00947,2025-10-30,Call Center,Network Issue,High,Resolved,2025-10-31,48,Field Ops,Zone 1,Sharjah
TKT_000200,SUB_00174,2025-10-09,Call Center,Complaint,Low,Resolved,2025-10-11,48,Tier 2,Zone 2,Abu Dhabi
TKT_000201,SUB_04695,2025-10-16,App,Technical Support,Medium,Resolved,2025-10-17,24,Tier 3,Zone 4,Dubai
TKT_000202,SUB_04091,2025-10-29,Call Center,Billing Query,Low,Open,,48,Tier 3,Zone 4,Sharjah
TKT_000203,SUB_02755,2025-10-17,Call Center,Technical Support,Low,Resolved,2025-10-21,24,Tier 2,Zone 2,Sharjah
TKT_000204,SUB_04389,2025-12-25,App,Technical Support,High,Open,,72,Tier 2,Zone 7,Dubai
TKT_000205,SUB_02095,2025-09-17,Call Center,Technical Support,Low,In Progress,,48,Tier 1,Zone 7,Dubai
TKT_000206,SUB_03114,2025-10-15,Call Center,Network Issue,Critical,In Progress,,48,Tier 1,Zone 4,Dubai
TKT_000207,SUB_04286,2025-11-01,Call Center,Plan Change,Low,Resolved,2025-11-03,24,Tier 2,Zone 3,Abu Dhabi
TKT_000208,SUB_02473,2025-09-25,Retail Store,Network Issue,Critical,In Progress,,48,Field Ops,Zone 4,Abu Dhabi
TKT_000209,SUB_02790,2025-11-23,Online Chat,Network Issue,Low,In Progress,,24,Tier 1,Zone 2,Dubai
TKT_000210,SUB_00939,2025-11-11,Call Center,Network Issue,Medium,Resolved,2025-11-13,48,Tier 1,Zone 2,Dubai
TKT_000211,SUB_04849,2025-10-27,Call Center,Plan Change,Medium,In Progress,,72,Tier 2,Zone 3,Abu Dhabi
TKT_000212,SUB_04528,2025-10-19,Call Center,Billing Query,Medium,In Progress,,48,Tier 1,Zone 8,Sharjah
TKT_000213,SUB_02956,2026-01-01,App,Technical Support,Critical,Resolved,2026-01-03,48,Tier 3,Zone 2,Sharjah
TKT_000214,SUB_02638,2025-10-21,Call Center,Billing Query,Medium,Resolved,2025-10-24,24,Tier 1,Zone 5,Dubai
