bill_id,subscriber_id,billing_month,bill_amount,payment_status,payment_date,credit_adjustment,adjustment_reason
BILL_000057,SUB_00019,2025-12-01,298.39,Paid,2025-12-20,24.28,Promo Credit
BILL_000058,SUB_00020,2025-10-01,122.57,Paid,2025-10-18,0.0,
BILL_000059,SUB_00020,2025-11-01,100.08,Paid,2025-11-21,0.0,
BILL_000060,SUB_00020,2025-12-01,99.09,Paid,2025-12-22,0.0,
BILL_000061,SUB_00021,2025-10-01,275.61,Paid,2025-10-10,0.0,
BILL_000062,SUB_00021,2025-11-01,287.4,Paid,2025-11-23,0.0,
BILL_000063,SUB_00021,2025-12-01,289.31,Paid,2025-12-22,0.0,
BILL_000064,SUB_00022,2025-10-01,141.86,Paid,2025-10-23,0.0,
BILL_000065,SUB_00022,2025-11-01,122.42,Paid,2025-11-04,0.0,
BILL_000066,SUB_00022,2025-12-01,118.72,Paid,2025-12-29,0.0,
BILL_000067,SUB_00023,2025-10-01,170.45,Overdue,,0.0,
BILL_000068,SUB_00023,2025-11-01,176.16,Paid,2025-11-20,0.0,
BILL_000069,SUB_00023,2025-12-01,204.39,Pending,,0.0,
BILL_000070,SUB_00024,2025-10-01,98.17,Partial,,0.0,
BILL_000071,SUB_00024,2025-11-01,107.28,Overdue,,0.0,
BILL_000072,SUB_00024,2025-12-01,115.4,Paid,2025-12-06,0.0,
BILL_000073,SUB_00025,2025-10-01,101.25,Partial,,0.0,
BILL_000074,SUB_00025,2025-11-01,115.21,Paid,2025-11-16,0.0,
BILL_000075,SUB_00025,2025-12-01,102.7,Partial,,0.0,
BILL_000076,SUB_00026,2025-10-01,402.51,Overdue,,45.8,Billing Error
BILL_000077,SUB_00026,2025-11-01,409.04,Paid,2025-11-05,0.0,
BILL_000078,SUB_00026,2025-12-01,432.53,Paid,2025-12-28,0.0,
BILL_000079,SUB_00027,2025-10-01,221.79,Paid,2025-10-27,0.0,
BILL_000080,SUB_00027,2025-11-01,227.75,Overdue,,0.0,
BILL_000081,SUB_00027,2025-12-01,242.2,Paid,2025-12-12,0.0,
BILL_000082,SUB_00028,2025-10-01,141.51,Pending,,0.0,
BILL_000083,SUB_00028,2025-11-01,128.91,Pending,,0.0,
BILL_000084,SUB_00028,2025-12-01,150.96,Paid,2025-12-24,0.0,
BILL_000085,SUB_00029,2025-10-01,98.06,Paid,2025-10-06,0.0,
BILL_000086,SUB_00029,2025-11-01,102.86,Overdue,,0.0,
BILL_000087,SUB_00029,2025-12-01,125.67,Paid,2025-12-20,0.0,
BILL_000088,SUB_00030,2025-10-01,296.22,Paid,2025-10-25,0.0,
BILL_000089,SUB_00030,2025-11-01,304.03,Paid,2025-11-16,0.0,
BILL_000090,SUB_00030,2025-12-01,283.78,Paid,2025-12-16,0.0,
BILL_000091,SUB_00031,2025-10-01,147.36,Overdue,,0.0,
BILL_000092,SUB_00031,2025-11-01,140.53,Paid,2025-11-19,0.0,
BILL_000093,SUB_00031,2025-12-01,178.81,Paid,2025-12-12,0.0,
BILL_000094,SUB_00032,2025-10-01,148.84,Paid,2025-10-08,0.0,
BILL_000095,SUB_00032,2025-11-01,148.41,Paid,2025-11-27,0.0,
BILL_000096,SUB_00032,2025-12-01,142.98,Paid,2025-12-12,0.0,
BILL_000097,SUB_00033,2025-10-01,153.48,Overdue,,0.0,
BILL_000098,SUB_00033,2025-11-01,131.47,Paid,2025-11-21,0.0,
BILL_000099,SUB_00033,2025-12-01,125.5,Paid,2025-12-24,0.0,
BILL_000100,SUB_00034,2025-10-01,182.5,Overdue,,0.0,
BILL_000101,SUB_00034,2025-11-01,169.66,Partial,,0.0,
BILL_000102,SUB_00034,2025-12-01,173.9,Overdue,,0.0,
BILL_000103,SUB_00035,2025-10-01,159.13,Paid,2025-10-08,0.0,
BILL_000104,SUB_00035,2025-11-01,168.06,Partial,,0.0,
BILL_000105,SUB_00035,2025-12-01,150.06,Paid,2025-12-20,0.0,
BILL_000106,SUB_00036,2025-10-01,153.73,Paid,2025-10-19,0.0,
BILL_000107,SUB_00036,2025-11-01,172.14,Paid,2025-11-14,90.09,Goodwill
BILL_000108,SUB_00036,2025-12-01,162.69,Paid,2025-12-17,0.0,
BILL_000109,SUB_00037,2025-10-01,513.19,Paid,2025-10-12,0.0,
BILL_000110,SUB_00037,2025-11-01,497.75,Overdue,,0.0,
BILL_000111,SUB_00037,2025-12-01,526.03,Partial,,0.0,
BILL_000112,SUB_00038,2025-10-01,135.91,Paid,2025-10-21,0.0,
BILL_000113,SUB_00038,2025-11-01,130.92,Pending,,0.0,
BILL_000114,SUB_00038,2025-12-01,162.92,Paid,2025-12-14,0.0,
BILL_000115,SUB_00039,2025-10-01,186.39,Overdue,,0.0,
BILL_000116,SUB_00039,2025-11-01,180.72,Pending,,0.0,
BILL_000117,SUB_00039,2025-12-01,160.91,Paid,2025-12-24,0.0,
BILL_000118,SUB_00040,2025-10-01,116.47,Overdue,,0.0,
BILL_000119,SUB_00040,2025-11-01,130.76,Overdue,,0.0,
BILL_000120,SUB_00040,2025-12-01,129.37,Overdue,,0.0,
BILL_000121,SUB_00041,2025-10-01,154.66,Partial,,0.0,
BILL_000122,SUB_00041,2025-11-01,128.22,Paid,2025-11-19,0.0,
BILL_000123,SUB_00041,2025-12-01,156.96,Paid,2025-12-24,0.0,
BILL_000124,SUB_00042,2025-10-01,133.17,Paid,2025-10-03,0.0,
BILL_000125,SUB_00042,2025-11-01,123.65,Paid,2025-11-27,0.0,
BILL_000126,SUB_00042,2025-12-01,131.82,Paid,2025-12-16,27.32,Promo Credit
BILL_000127,SUB_00043,2025-10-01,423.7,Overdue,,0.0,
BILL_000128,SUB_00043,2025-11-01,414.53,Paid,2025-11-22,0.0,
BILL_000129,SUB_00043,2025-12-01,387.63,Partial,,0.0,
BILL_000130,SUB_00044,2025-10-01,242.14,Paid,2025-10-07,0.0,
BILL_000131,SUB_00044,2025-11-01,203.23,Pending,,0.0,
BILL_000132,SUB_00044,2025-12-01,223.77,Overdue,,0.0,
BILL_000133,SUB_00045,2025-10-01,412.32,Paid,2025-10-20,0.0,
BILL_000134,SUB_00045,2025-11-01,441.22,Paid,2025-11-17,95.08,Goodwill
BILL_000135,SUB_00045,2025-12-01,430.0,Overdue,,0.0,
BILL_000136,SUB_00046,2025-10-01,141.9,Paid,2025-10-25,0.0,
BILL_000137,SUB_00046,2025-11-01,157.78,Paid,2025-11-09,0.0,
BILL_000138,SUB_00046,2025-12-01,152.45,Paid,2025-12-11,0.0,
BILL_000139,SUB_00047,2025-10-01,184.39,Paid,2025-10-05,15.6,Promo Credit
BILL_000140,SUB_00047,2025-11-01,142.4,Paid,2025-11-20,0.0,
BILL_000141,SUB_00047,2025-12-01,166.15,Paid,2025-12-14,0.0,
BILL_000142,SUB_00048,2025-10-01,410.98,Partial,,0.0,
BILL_000143,SUB_00048,2025-11-01,379.08,Paid,2025-11-25,0.0,
BILL_000144,SUB_00048,2025-12-01,377.29,Paid,2025-12-16,0.0,
BILL_000145,SUB_00049,2025-10-01,195.54,Overdue,,0.0,
BILL_000146,SUB_00049,2025-11-01,187.47,Paid,2025-11-23,90.59,Billing Error
BILL_000147,SUB_00049,2025-12-01,179.43,Paid,2025-12-28,0.0,
BILL_000148,SUB_00050,2025-10-01,498.31,Paid,2025-10-08,0.0,
BILL_000149,SUB_00050,2025-11-01,523.45,Partial,,0.0,
BILL_000150,SUB_00050,2025-12-01,526.79,Paid,,0.0,
BILL_000151,SUB_00051,2025-10-01,121.33,Paid,2025-10-10,0.0,
BILL_000152,SUB_00051,2025-11-01,108.11,Paid,2025-11-10,0.0,
BILL_000153,SUB_00051,2025-12-01,118.29,Paid,2025-12-13,0.0,
BILL_000154,SUB_00052,2025-10-01,145.1,Overdue,,74.39,Promo Credit
BILL_000155,SUB_00052,2025-11-01,154.72,Partial,,0.0,
BILL_000156,SUB_00052,2025-12-01,122.12,Overdue,,0.0,
BILL_000157,SUB_00053,2025-10-01,499.34,Paid,2025-10-30,0.0,
BILL_000158,SUB_00053,2025-11-01,482.58,Paid,2025-11-29,0.0,
BILL_000159,SUB_00053,2025-12-01,518.68,Partial,,0.0,
BILL_000160,SUB_00054,2025-10-01,135.25,Paid,2025-10-12,0.0,
BILL_000161,SUB_00054,2025-11-01,149.84,Paid,2025-11-11,0.0,
BILL_000162,SUB_00054,2025-12-01,130.47,Paid,2025-12-04,0.0,
BILL_000163,SUB_00055,2025-10-01,95.34,Paid,2025-10-28,0.0,
BILL_000164,SUB_00055,2025-11-01,96.48,Paid,2025-11-12,89.51,Goodwill
BILL_000165,SUB_00055,2025-12-01,77.18,Paid,2025-12-27,0.0,
BILL_000166,SUB_00056,2025-10-01,455.9,Paid,2025-10-13,0.0,
BILL_000167,SUB_00056,2025-11-01,476.6,Paid,2025-11-06,68.51,Network Issue
BILL_000168,SUB_00056,2025-12-01,433.23,Partial,,0.0,
BILL_000169,SUB_00057,2025-10-01,84.53,Paid,2025-10-29,0.0,
BILL_000170,SUB_00057,2025-11-01,81.93,Paid,2025-11-22,0.0,
BILL_000171,SUB_00057,2025-12-01,122.51,Paid,2025-12-19,0.0,
BILL_000172,SUB_00058,2025-10-01,226.73,Paid,2025-10-04,0.0,
BILL_000173,SUB_00058,2025-11-01,233.19,Overdue,,0.0,
BILL_000174,SUB_00058,2025-12-01,256.74,Paid,2025-12-14,0.0,
BILL_000175,SUB_00059,2025-10-01,147.89,Paid,2025-10-09,0.0,
BILL_000176,SUB_00059,2025-11-01,158.83,Paid,2025-11-19,0.0,
BILL_000177,SUB_00059,2025-12-01,158.7,Paid,2025-12-06,11.87,Goodwill
BILL_000178,SUB_00060,2025-10-01,119.79,Paid,2025-10-04,0.0,
BILL_000179,SUB_00060,2025-11-01,112.53,Paid,2025-11-29,0.0,
BILL_000180,SUB_00060,2025-12-01,132.79,Paid,2025-12-30,0.0,
BILL_000181,SUB_00061,2025-10-01,59.33,Paid,2025-10-12,0.0,
BILL_000182,SUB_00061,2025-11-01,87.2,Paid,,0.0,
BILL_000183,SUB_00061,2025-12-01,94.99,Paid,2025-12-07,0.0,
BILL_000184,SUB_00062,2025-10-01,222.1,Paid,2025-10-24,0.0,
BILL_000185,SUB_00062,2025-11-01,218.48,Paid,2025-11-22,0.0,
BILL_000186,SUB_00062,2025-12-01,242.88,Partial,,0.0,
BILL_000187,SUB_00063,2025-10-01,64.04,Overdue,,0.0,
BILL_000188,SUB_00063,2025-11-01,72.24,Paid,2025-11-29,0.0,
BILL_000189,SUB_00063,2025-12-01,83.11,Pending,,23.32,Billing Error
BILL_000190,SUB_00064,2025-10-01,129.14,Paid,2025-10-09,75.75,Promo Credit
BILL_000191,SUB_00064,2025-11-01,140.67,Overdue,,0.0,
BILL_000192,SUB_00064,2025-12-01,136.35,Paid,2025-12-17,0.0,
BILL_000193,SUB_00065,2025-10-01,495.66,Paid,2025-10-09,0.0,
BILL_000194,SUB_00065,2025-11-01,529.18,Paid,2025-11-17,0.0,
BILL_000195,SUB_00065,2025-12-01,527.53,Paid,2025-12-31,0.0,
BILL_000196,SUB_00066,2025-10-01,152.01,Paid,2025-10-07,0.0,
BILL_000197,SUB_00066,2025-11-01,152.29,Paid,2025-11-14,0.0,
BILL_000198,SUB_00066,2025-12-01,146.5,Paid,2025-12-03,0.0,
BILL_000199,SUB_00067,2025-10-01,490.37,Paid,2025-10-15,0.0,
BILL_000200,SUB_00067,2025-11-01,477.39,Paid,2025-11-30,0.0,
BILL_000201,SUB_00067,2025-12-01,497.51,Paid,2025-12-10,0.0,
BILL_000202,SUB_00068,2025-10-01,69.32,Paid,2025-10-28,0.0,
BILL_000203,SUB_00068,2025-11-01,69.99,Partial,,0.0,
BILL_000204,SUB_00068,2025-12-01,93.21,Overdue,,0.0,
BILL_000205,SUB_00069,2025-10-01,115.84,Paid,2025-10-27,0.0,
BILL_000206,SUB_00069,2025-11-01,127.54,Partial,,0.0,
BILL_000207,SUB_00069,2025-12-01,98.96,Partial,,0.0,
BILL_000208,SUB_00070,2025-10-01,360.61,Paid,2025-10-23,0.0,
BILL_000209,SUB_00070,2025-11-01,380.28,Paid,2025-11-06,0.0,
BILL_000210,SUB_00070,2025-12-01,349.47,Paid,2025-12-26,0.0,
BILL_000211,SUB_00071,2025-10-01,110.13,Paid,2025-10-16,0.0,
BILL_000212,SUB_00071,2025-11-01,156.5,Paid,2025-11-08,60.48,Billing Error
BILL_000213,SUB_00071,2025-12-01,122.26,Paid,2025-12-06,0.0,
BILL_000214,SUB_00072,2025-10-01,127.46,Paid,2025-10-15,94.07,Promo Credit
BILL_000215,SUB_00072,2025-11-01,87.33,Paid,2025-11-05,0.0,
BILL_000216,SUB_00072,2025-12-01,101.8,Pending,,47.78,Promo Credit
BILL_000217,SUB_00073,2025-10-01,264.29,Paid,2025-10-26,0.0,
BILL_000218,SUB_00073,2025-11-01,268.52,Partial,,0.0,
BILL_000219,SUB_00073,2025-12-01,256.35,Pending,,0.0,
BILL_000220,SUB_00074,2025-10-01,192.11,Overdue,,0.0,
BILL_000221,SUB_00074,2025-11-01,212.12,Paid,2025-11-28,0.0,
BILL_000222,SUB_00074,2025-12-01,218.0,Pending,,0.0,
BILL_000223,SUB_00075,2025-10-01,213.26,Paid,2025-10-22,64.85,Goodwill
BILL_000224,SUB_00075,2025-11-01,207.81,Paid,2025-12-01,0.0,
BILL_000225,SUB_00075,2025-12-01,239.32,Paid,2025-12-29,66.36,Network Issue
BILL_000226,SUB_00076,2025-10-01,267.0,Paid,2025-10-17,0.0,
BILL_000227,SUB_00076,2025-11-01,289.33,Paid,2025-11-16,24.72,Promo Credit
BILL_000228,SUB_00076,2025-12-01,256.68,Paid,2025-12-19,0.0,
BILL_000229,SUB_00077,2025-10-01,262.99,Partial,,0.0,
BILL_000230,SUB_00077,2025-11-01,227.6,Paid,2025-11-10,0.0,
BILL_000231,SUB_00077,2025-12-01,257.02,Paid,2025-12-10,0.0,
BILL_000232,SUB_00078,2025-10-01,187.87,Paid,2025-10-07,0.0,
BILL_000233,SUB_00078,2025-11-01,142.46,Paid,2025-12-01,0.0,
BILL_000234,SUB_00078,2025-12-01,175.68,Paid,2025-12-05,42.87,Network Issue
BILL_000235,SUB_00079,2025-10-01,529.72,Paid,2025-10-03,0.0,
BILL_000236,SUB_00079,2025-11-01,528.34,Overdue,,0.0,
BILL_000237,SUB_00079,2025-12-01,503.75,Pending,,0.0,
BILL_000238,SUB_00080,2025-10-01,142.44,Paid,2025-10-05,0.0,
BILL_000239,SUB_00080,2025-11-01,121.03,Paid,2025-11-05,0.0,
BILL_000240,SUB_00080,2025-12-01,155.48,Paid,2025-12-23,0.0,
BILL_000241,SUB_00081,2025-10-01,185.6,Paid,2025-10-31,0.0,
BILL_000242,SUB_00081,2025-11-01,160.95,Pending,,0.0,
BILL_000243,SUB_00081,2025-12-01,150.86,Paid,2025-12-15,0.0,
BILL_000244,SUB_00082,2025-10-01,116.27,Paid,2025-10-09,0.0,
BILL_000245,SUB_00082,2025-11-01,117.12,Paid,,0.0,
BILL_000246,SUB_00082,2025-12-01,153.95,Partial,,36.53,Promo Credit
BILL_000247,SUB_00083,2025-10-01,122.44,Overdue,,0.0,
BILL_000248,SUB_00083,2025-11-01,118.9,Paid,,0.0,
BILL_000249,SUB_00083,2025-12-01,124.33,Paid,2025-12-20,0.0,
BILL_000250,SUB_00084,2025-10-01,74.55,Overdue,,0.0,
BILL_000251,SUB_00084,2025-11-01,105.0,Overdue,,0.0,
BILL_000252,SUB_00084,2025-12-01,110.57,Partial,,0.0,
BILL_000253,SUB_00085,2025-10-01,107.34,Paid,2025-10-11,0.0,
BILL_000254,SUB_00085,2025-11-01,101.36,Paid,2025-11-28,0.0,
BILL_000255,SUB_00085,2025-12-01,132.76,Paid,2025-12-10,0.0,
BILL_000256,SUB_00086,2025-10-01,228.88,Partial,,0.0,
BILL_000257,SUB_00086,2025-11-01,201.07,Paid,2025-11-27,0.0,
BILL_000258,SUB_00086,2025-12-01,241.61,Overdue,,0.0,
BILL_000259,SUB_00087,2025-10-01,398.54,Paid,2025-10-30,35.45,Goodwill
BILL_000260,SUB_00087,2025-11-01,436.36,Partial,,49.04,Goodwill
BILL_000261,SUB_00087,2025-12-01,435.33,Overdue,,0.0,
BILL_000262,SUB_00088,2025-10-01,305.11,Paid,2025-10-21,0.0,
BILL_000263,SUB_00088,2025-11-01,314.19,Paid,2025-11-30,0.0,
BILL_000264,SUB_00088,2025-12-01,292.78,Pending,,0.0,
BILL_000265,SUB_00089,2025-10-01,535.35,Pending,,0.0,
BILL_000266,SUB_00089,2025-11-01,537.24,Partial,,0.0,
BILL_000267,SUB_00089,2025-12-01,502.25,Paid,2025-12-15,0.0,
BILL_000268,SUB_00090,2025-10-01,129.01,Paid,2025-10-07,0.0,
BILL_000269,SUB_00090,2025-11-01,130.16,Paid,2025-11-08,0.0,
BILL_000270,SUB_00090,2025-12-01,154.85,Pending,,0.0,
BILL_000271,SUB_00091,2025-10-01,86.73,Overdue,,0.0,
BILL_000272,SUB_00091,2025-11-01,108.54,Paid,2025-11-07,0.0,
BILL_000273,SUB_00091,2025-12-01,96.29,Paid,2025-12-09,0.0,
BILL_000274,SUB_00092,2025-10-01,162.71,Paid,2025-10-06,0.0,
BILL_000275,SUB_00092,2025-11-01,165.33,Paid,2025-11-30,0.0,
BILL_000276,SUB_00092,2025-12-01,147.17,Paid,2025-12-18,0.0,
BILL_000277,SUB_00093,2025-10-01,326.63,Paid,2025-10-02,0.0,
BILL_000278,SUB_00093,2025-11-01,310.39,Overdue,,0.0,
BILL_000279,SUB_00093,2025-12-01,323.52,Partial,,0.0,
BILL_000280,SUB_00094,2025-10-01,108.73,Partial,,0.0,
BILL_000281,SUB_00094,2025-11-01,143.43,Paid,2025-11-03,0.0,
BILL_000282,SUB_00094,2025-12-01,108.62,Paid,2025-12-10,0.0,
BILL_000283,SUB_00095,2025-10-01,218.1,Overdue,,0.0,
BILL_000284,SUB_00095,2025-11-01,194.05,Paid,2025-11-03,0.0,
BILL_000285,SUB_00095,2025-12-01,196.18,Paid,2025-12-16,0.0,
BILL_000286,SUB_00096,2025-10-01,272.79,Paid,2025-10-08,0.0,
BILL_000287,SUB_00096,2025-11-01,306.83,Paid,2025-11-24,0.0,
BILL_000288,SUB_00096,2025-12-01,306.13,Pending,,0.0,
BILL_000289,SUB_00097,2025-10-01,345.77,Paid,2025-10-08,0.0,
BILL_000290,SUB_00097,2025-11-01,341.13,Partial,,0.0,
BILL_000291,SUB_00097,2025-12-01,332.1,Paid,2025-12-12,0.0,
BILL_000292,SUB_00098,2025-10-01,413.68,Paid,2025-10-19,0.0,
BILL_000293,SUB_00098,2025-11-01,430.38,Paid,2025-11-24,0.0,
BILL_000294,SUB_00098,2025-12-01,403.02,Paid,2025-12-18,0.0,
BILL_000295,SUB_00099,2025-10-01,182.19,Paid,2025-10-19,0.0,
BILL_000296,SUB_00099,2025-11-01,167.79,Paid,2025-11-02,0.0,
BILL_000297,SUB_00099,2025-12-01,175.77,Paid,2025-12-12,0.0,
BILL_000298,SUB_00100,2025-10-01,120.0,Overdue,,0.0,
BILL_000299,SUB_00100,2025-11-01,112.94,Paid,2025-11-18,0.0,
BILL_000300,SUB_00100,2025-12-01,102.85,Partial,,0.0,
BILL_000301,SUB_00101,2025-10-01,409.57,Paid,2025-10-14,0.0,
BILL_000302,SUB_00101,2025-11-01,387.37,Paid,2025-11-10,66.25,Billing Error
BILL_000303,SUB_00101,2025-12-01,411.72,Overdue,,96.86,Goodwill
BILL_000304,SUB_00102,2025-10-01,136.71,Paid,2025-10-30,0.0,
BILL_000305,SUB_00102,2025-11-01,146.59,Paid,2025-11-02,0.0,
BILL_000306,SUB_00102,2025-12-01,121.98,Paid,2025-12-11,0.0,
BILL_000307,SUB_00103,2025-10-01,478.73,Paid,2025-10-26,58.13,Network Issue
BILL_000308,SUB_00103,2025-11-01,485.81,Paid,2025-11-02,0.0,
BILL_000309,SUB_00103,2025-12-01,454.37,Pending,,0.0,
BILL_000310,SUB_00104,2025-10-01,193.15,Overdue,,0.0,
BILL_000311,SUB_00104,2025-11-01,178.55,Pending,,0.0,
BILL_000312,SUB_00104,2025-12-01,190.48,Paid,2025-12-21,0.0,
BILL_000313,SUB_00105,2025-10-01,139.81,Overdue,,0.0,
BILL_000314,SUB_00105,2025-11-01,148.85,Paid,2025-11-30,0.0,
BILL_000315,SUB_00105,2025-12-01,140.5,Paid,2025-12-24,0.0,
BILL_000316,SUB_00106,2025-10-01,184.34,Paid,2025-10-09,0.0,
BILL_000317,SUB_00106,2025-11-01,179.63,Paid,2025-11-09,0.0,
BILL_000318,SUB_00106,2025-12-01,154.05,Paid,2025-12-18,0.0,
BILL_000319,SUB_00107,2025-10-01,152.98,Paid,2025-10-23,0.0,
BILL_000320,SUB_00107,2025-11-01,131.67,Paid,2025-11-16,0.0,
BILL_000321,SUB_00107,2025-12-01,146.6,Paid,2025-12-19,0.0,
BILL_000322,SUB_00108,2025-10-01,84.69,Overdue,,0.0,
BILL_000323,SUB_00108,2025-11-01,105.14,Paid,2025-11-27,0.0,
BILL_000324,SUB_00108,2025-12-01,100.5,Paid,2025-12-12,20.91,Network Issue
BILL_000325,SUB_00109,2025-10-01,118.32,Pending,,0.0,
BILL_000326,SUB_00109,2025-11-01,120.83,Paid,2025-11-30,0.0,
BILL_000327,SUB_00109,2025-12-01,137.29,Paid,2025-12-12,0.0,
BILL_000328,SUB_00110,2025-10-01,71.85,Overdue,,0.0,
BILL_000329,SUB_00110,2025-11-01,82.41,Paid,2025-11-18,0.0,
BILL_000330,SUB_00110,2025-12-01,92.55,Paid,2025-12-15,0.0,
BILL_000331,SUB_00111,2025-10-01,160.3,Paid,2025-10-05,0.0,
BILL_000332,SUB_00111,2025-11-01,133.51,Partial,,0.0,
BILL_000333,SUB_00111,2025-12-01,181.43,Paid,2025-12-31,0.0,
BILL_000334,SUB_00112,2025-10-01,215.97,Partial,,0.0,
BILL_000335,SUB_00112,2025-11-01,188.01,Paid,2025-11-29,0.0,
BILL_000336,SUB_00112,2025-12-01,221.33,Paid,2025-12-14,0.0,
BILL_000337,SUB_00113,2025-10-01,174.23,Paid,2025-10-03,0.0,
BILL_000338,SUB_00113,2025-11-01,173.07,Partial,,0.0,
BILL_000339,SUB_00113,2025-12-01,166.98,Paid,2025-12-16,0.0,
BILL_000340,SUB_00114,2025-10-01,118.71,Paid,2025-10-30,0.0,
BILL_000341,SUB_00114,2025-11-01,105.47,Partial,,0.0,
BILL_000342,SUB_00114,2025-12-01,88.91,Partial,,0.0,
BILL_000343,SUB_00115,2025-10-01,145.53,Overdue,,0.0,
BILL_000344,SUB_00115,2025-11-01,154.69,Overdue,,0.0,
BILL_000345,SUB_00115,2025-12-01,142.94,Paid,2025-12-26,0.0,
BILL_000346,SUB_00116,2025-10-01,111.68,Paid,2025-10-14,73.66,Promo Credit
BILL_000347,SUB_00116,2025-11-01,122.32,Paid,,0.0,
BILL_000348,SUB_00116,2025-12-01,131.77,Paid,2025-12-06,0.0,
BILL_000349,SUB_00117,2025-10-01,136.64,Paid,2025-10-07,0.0,
BILL_000350,SUB_00117,2025-11-01,152.4,Overdue,,0.0,
