usage_id,subscriber_id,usage_date,data_usage_gb,voice_minutes,sms_count,roaming_charges,addon_charges
USG_000116,SUB_02733,2026-01-04,13.9,79,5,14.15,12.0
USG_000117,SUB_03513,2025-09-26,13.77,475,41,11.84,39.4
USG_000118,SUB_01851,2025-11-22,1.03,26,99,4.02,51.9
USG_000119,SUB_04553,2026-01-04,18.38,320,78,0.14,13.42
USG_000120,SUB_01971,2025-12-23,12.21,338,38,44.19,23.11
USG_000121,SUB_02081,2025-11-08,7.3,404,73,61.86,5.24
USG_000122,SUB_00676,2025-11-16,9.41,183,9,3.88,42.14
USG_000123,SUB_02060,2025-12-16,33.04,362,40,31.14,22.11
USG_000124,SUB_00351,2025-11-13,4.47,112,23,10.0,2.59
USG_000125,SUB_01025,2025-11-12,21.9,34,100,18.28,6.73
USG_000126,SUB_01862,2025-11-10,14.22,81,53,2.62,26.07
USG_000127,SUB_01766,2025-11-15,,274,51,9.29,5.47
USG_000128,SUB_01876,2025-09-18,8.42,178,28,6.69,2.58
USG_000129,SUB_00165,2025-12-29,1.39,109,84,52.26,30.91
USG_000130,SUB_04861,2025-10-19,8.13,169,46,6.58,5.24
USG_000131,SUB_03262,2025-10-14,0.6,111,96,4.94,38.35
USG_000132,SUB_00875,2025-11-25,19.94,271,60,12.99,3.97
USG_000133,SUB_03779,2025-11-17,5.63,421,96,0.11,6.16
USG_000134,SUB_01800,2025-11-29,16.32,4,14,19.7,16.44
USG_000135,SUB_00905,2025-12-01,13.8,177,57,0.89,14.53
USG_000136,SUB_02037,2025-10-07,4.4,463,82,13.33,18.99
USG_000137,SUB_04820,2025-11-24,1.63,470,79,32.23,21.31
USG_000138,SUB_00942,2025-10-08,6.22,490,5,55.65,49.56
USG_000139,SUB_02370,2025-12-03,20.4,453,41,46.22,13.6
USG_000140,SUB_00385,2025-10-25,4.38,468,14,8.56,3.12
USG_000141,SUB_01000,2025-10-26,12.7,131,69,16.57,4.31
USG_000142,SUB_01961,2025-12-08,6.06,144,3,30.02,5.54
USG_000143,SUB_02662,2026-01-01,3.94,264,98,8.81,8.52
USG_000144,SUB_04168,2025-10-24,9.27,263,65,24.59,9.32
USG_000145,SUB_04445,2025-11-03,9.01,249,5,79.93,2.25
USG_000146,SUB_04439,2025-10-14,6.94,459,83,11.59,33.43
USG_000147,SUB_03569,2025-10-01,2.99,164,65,2.68,24.62
USG_000148,SUB_02564,2025-09-17,11.04,485,12,19.88,67.52
USG_000149,SUB_01644,2025-09-28,7.97,497,98,4.26,29.36
USG_000150,SUB_01840,2025-11-14,1.53,273,0,0.19,18.62
USG_000151,SUB_02915,2025-11-26,4.06,33,26,5.7,13.01
USG_000152,SUB_03537,2025-12-01,17.48,322,99,2.13,28.09
USG_000153,SUB_03326,2025-10-04,5.37,442,87,2.92,4.08
USG_000154,SUB_03861,2025-10-31,8.43,427,13,7.05,17.41
USG_000155,SUB_01507,2025-10-03,1.21,275,89,10.08,1.99
USG_000156,SUB_00459,2025-12-28,21.66,499,94,15.52,7.25
USG_000157,SUB_03867,2025-12-15,10.86,222,82,1.47,5.74
USG_000158,SUB_01886,2025-12-20,4.51,481,9,24.85,19.88
USG_000159,SUB_03796,2025-12-11,16.49,351,19,49.33,4.49
USG_000160,SUB_02673,2025-09-10,22.7,235,91,7.45,4.56
USG_000161,SUB_01807,2025-10-19,9.9,19,11,0.75,5.18
USG_000162,SUB_02368,2025-09-16,14.99,27,22,13.67,20.38
USG_000163,SUB_04087,2025-12-17,8.35,128,71,1.26,15.61
USG_000164,SUB_03541,2025-09-16,5.9,294,29,9.82,47.3
USG_000165,SUB_02611,2026-01-01,33.72,132,52,1.39,1.68
USG_000166,SUB_01195,2025-10-26,4.14,230,80,30.48,43.32
USG_000167,SUB_03245,2025-10-28,13.48,221,40,23.11,25.62
USG_000168,SUB_03200,2025-09-09,2.49,199,86,38.78,73.1
USG_000169,SUB_00115,2025-09-22,5.24,273,0,53.2,4.75
USG_000170,SUB_00634,2025-11-28,28.09,368,79,20.47,16.76
USG_000171,SUB_01792,2025-09-15,7.05,387,95,2.27,20.43
USG_000172,SUB_02358,2025-11-20,12.26,23,89,1.65,13.92
USG_000173,SUB_01119,2025-12-24,7.89,37,45,1.39,5.21
USG_000174,SUB_01121,2026-01-03,5.53,257,13,9.13,8.43
USG_000175,SUB_02429,2025-10-14,17.65,402,87,82.94,5.68
USG_000176,SUB_02775,2025-10-15,1.74,310,11,30.17,14.98
USG_000177,SUB_02814,2025-10-13,10.46,391,56,2.01,19.61
USG_000178,SUB_00306,2025-10-25,14.16,202,84,28.95,0.51
USG_000179,SUB_03040,2025-09-10,7.55,242,20,14.04,5.85
USG_000180,SUB_01704,2025-11-14,9.83,112,17,1.48,0.49
USG_000181,SUB_00275,2025-12-11,8.54,200,69,79.49,0.62
USG_000182,SUB_02805,2025-10-14,6.27,491,81,11.52,7.42
USG_000183,SUB_02640,2025-09-25,14.26,152,86,4.92,10.21
USG_000184,SUB_02693,2025-12-29,4.09,468,93,14.45,49.51
USG_000185,SUB_03111,2025-11-28,10.59,191,1,5.81,3.28
USG_000186,SUB_00999,2025-11-16,8.83,447,71,9.32,12.5
USG_000187,SUB_04658,2025-09-25,3.71,63,5,5.35,8.8
USG_000188,SUB_00953,2025-09-07,9.39,293,76,19.94,27.1
USG_000189,SUB_04534,2025-10-27,1.97,275,70,23.41,27.29
USG_000190,SUB_01757,2025-09-17,3.66,156,26,6.47,21.0
USG_000191,SUB_04195,2025-12-11,10.86,379,92,16.99,2.84
USG_000192,SUB_04177,2025-10-21,4.54,108,52,14.49,52.69
USG_000193,SUB_03070,2025-12-31,11.85,330,65,2.51,12.28
USG_000194,SUB_03486,2025-09-25,10.98,82,23,9.37,2.37
USG_000195,SUB_03788,2025-10-05,20.85,315,32,38.23,42.59
USG_000196,SUB_00504,2025-10-01,3.81,58,23,5.3,1.62
USG_000197,SUB_00206,2025-12-01,6.93,409,72,0.9,0.61
USG_000198,SUB_03261,2025-12-25,10.22,27,96,36.09,37.23
USG_000199,SUB_00580,2026-01-04,13.29,281,59,34.71,9.54
USG_000200,SUB_00887,2025-11-28,23.36,281,9,33.83,4.6
USG_000201,SUB_02078,2025-10-14,2.49,343,8,2.41,12.42
USG_000202,SUB_04725,2025-10-09,5.63,50,25,49.68,45.0
USG_000203,SUB_01731,2025-12-08,5.54,297,62,21.5,11.92
USG_000204,SUB_02723,2025-10-19,3.75,182,16,8.89,9.12
USG_000205,SUB_03161,2025-12-01,19.45,335,30,6.63,50.28
USG_000206,SUB_03579,2025-09-19,4.98,145,79,6.39,27.88
USG_000207,SUB_04353,2025-09-15,3.26,460,24,19.58,10.92
USG_000208,SUB_00062,2025-10-17,8.09,248,57,15.79,75.64
USG_000209,SUB_00729,2025-10-19,15.23,315,84,3.6,2.19
USG_000210,SUB_04184,2025-10-16,3.26,355,74,52.83,36.44
USG_000211,SUB_04244,2025-09-26,17.51,289,72,9.11,1.14
USG_000212,SUB_04556,2025-10-23,6.28,413,40,27.42,33.34
USG_000213,SUB_03859,2025-10-31,9.31,86,0,65.07,51.89
USG_000214,SUB_04430,2025-10-17,18.63,126,100,15.69,38.63
USG_000215,SUB_01594,2025-10-05,20.07,364,94,3.14,5.36
USG_000216,SUB_00087,2025-11-28,2.1,223,35,16.24,2.54
USG_000217,SUB_03933,2025-12-23,2.06,184,17,5.63,6.03
USG_000218,SUB_02135,2025-12-02,680.8135590153295,375,42,24.69,4.71
USG_000219,SUB_00845,2025-12-28,6.08,245,59,35.51,11.97
USG_000220,SUB_02879,2025-11-03,2.12,183,99,23.42,29.25
USG_000221,SUB_00847,2025-10-16,7.97,249,70,10.03,19.67
USG_000222,SUB_03886,2025-09-20,9.19,89,82,108.44,8.81
USG_000223,SUB_00500,2025-11-23,16.4,41,35,2.21,5.17
USG_000224,SUB_04890,2025-12-25,13.85,423,17,20.67,12.46
USG_000225,SUB_01901,2025-12-30,2.69,275,25,16.57,21.62
USG_000226,SUB_04155,2025-10-10,,375,80,10.72,41.21
USG_000227,SUB_03649,2025-09-16,10.13,372,9,49.81,27.52
USG_000228,SUB_04362,2025-12-30,5.08,9,64,0.88,11.93
USG_000229,SUB_03199,2025-11-26,0.82,15,74,11.38,15.9
USG_000230,SUB_01155,2025-11-20,10.26,207,98,0.45,3.07
USG_000231,SUB_03522,2025-11-21,,108,4,13.48,10.42
USG_000232,SUB_00516,2025-11-16,12.43,133,69,35.51,3.3
USG_000233,SUB_01227,2025-12-30,10.52,276,60,6.04,21.72
USG_000234,SUB_02962,2025-11-29,9.24,396,19,34.46,0.59
USG_000235,SUB_04551,2025-10-23,6.84,200,28,8.05,15.45
USG_000236,SUB_04111,2025-12-30,3.54,395,75,45.3,12.21
USG_000237,SUB_03375,2025-12-09,3.34,438,37,39.31,76.31
USG_000238,SUB_01869,2025-09-24,12.28,237,64,6.6,8.49
USG_000239,SUB_01315,2025-11-11,12.99,46,50,2.55,41.68
USG_000240,SUB_04417,2025-10-23,10.59,257,1,5.15,6.49
USG_000241,SUB_02550,2025-11-30,6.85,122,78,7.39,6.35
USG_000242,SUB_03838,2025-12-03,6.07,84,96,13.8,1.11
USG_000243,SUB_03116,2025-11-11,13.42,71,57,10.45,4.07
USG_000244,SUB_02274,2025-09-27,37.46,91,72,43.37,14.67
USG_000245,SUB_04242,2025-11-18,9.18,337,18,18.04,6.54
USG_000246,SUB_00372,2025-12-10,6.6,374,61,50.03,2.03
USG_000247,SUB_02033,2025-10-22,9.07,20,28,28.3,7.22
USG_000248,SUB_04195,2025-12-13,17.44,249,29,8.54,56.57
USG_000249,SUB_03660,2025-09-15,10.35,135,47,21.57,12.02
USG_000250,SUB_02307,2025-10-06,10.33,21,85,16.5,3.76
USG_000251,SUB_04534,2025-10-03,16.11,265,46,23.74,7.91
USG_000252,SUB_03041,2025-10-26,9.74,240,58,13.07,43.34
USG_000253,SUB_04346,2025-12-28,18.52,23,5,27.93,28.96
USG_000254,SUB_04977,2025-11-29,19.34,165,13,6.78,1.65
USG_000255,SUB_04242,2025-12-06,9.78,495,66,18.13,4.3
USG_000256,SUB_00300,2025-11-27,15.81,424,35,2.34,6.51
USG_000257,SUB_03210,2025-12-22,25.25,379,33,12.85,22.85
USG_000258,SUB_03816,2025-11-20,31.25,278,72,14.59,5.97
USG_000259,SUB_04363,2025-09-29,4.27,192,83,4.09,17.81
USG_000260,SUB_00209,2025-10-25,2.25,187,75,2.53,15.73
USG_000261,SUB_03785,2025-11-29,5.5,459,9,3.15,5.78
USG_000262,SUB_03721,2025-11-12,20.37,128,48,27.61,0.45
USG_000263,SUB_04710,2026-01-01,17.28,114,66,34.65,26.11
USG_000264,SUB_02064,2025-10-28,5.91,180,44,20.43,8.96
USG_000265,SUB_02429,2025-11-08,3.16,405,61,82.18,4.38
USG_000266,SUB_01744,2025-12-29,0.5,309,0,20.14,6.79
USG_000267,SUB_03006,2025-11-10,9.97,451,17,18.08,16.24
USG_000268,SUB_03080,2025-11-02,22.21,84,29,43.54,1.77
USG_000269,SUB_00360,2025-09-16,1.46,263,82,19.42,20.2
USG_000270,SUB_00585,2025-10-12,3.05,108,19,3.3,16.39
USG_000271,SUB_03111,2025-09-30,4.02,80,46,10.95,13.41
USG_000272,SUB_01853,2025-11-23,2.86,367,15,4.26,8.32
USG_000273,SUB_03144,2025-11-30,16.2,117,53,9.2,2.86
USG_000274,SUB_04501,2025-12-19,10.83,169,92,28.48,0.49
USG_000275,SUB_02067,2025-09-21,6.35,246,86,5.8,10.49
USG_000276,SUB_01324,2025-11-07,5.75,245,26,6.5,58.69
USG_000277,SUB_00796,2025-11-21,4.87,82,82,26.69,3.77
USG_000278,SUB_04795,2025-12-22,5.48,210,2,12.32,1.28
USG_000279,SUB_03777,2025-10-08,4.64,22,16,57.63,10.01
USG_000280,SUB_02965,2025-11-19,3.52,303,20,4.0,4.74
USG_000281,SUB_01275,2025-09-24,6.83,322,65,24.08,0.08
USG_000282,SUB_04461,2025-09-12,3.04,456,73,8.78,2.37
USG_000283,SUB_03137,2025-09-25,21.24,28,21,21.63,46.93
USG_000284,SUB_04905,2025-10-10,13.41,472,23,41.49,12.12
USG_000285,SUB_01657,2025-11-12,5.56,490,51,1.64,1.69
USG_000286,SUB_01561,2025-11-22,8.95,496,72,38.72,20.8
USG_000287,SUB_00216,2025-11-27,9.62,9,92,15.25,7.44
USG_000288,SUB_03218,2025-12-09,14.24,338,36,27.15,12.28
USG_000289,SUB_02694,2025-09-17,9.83,110,57,12.35,1.76
USG_000290,SUB_03186,2025-11-23,5.92,241,61,7.63,5.37
USG_000291,SUB_04779,2025-09-28,10.42,112,52,7.92,5.46
USG_000292,SUB_00338,2025-11-22,10.83,73,74,17.53,1.16
USG_000293,SUB_01071,2025-12-21,0.79,392,23,34.19,16.18
USG_000294,SUB_02529,2025-11-25,0.83,337,65,1.26,14.8
USG_000295,SUB_02519,2025-10-10,30.46,85,92,22.77,33.87
USG_000296,SUB_03201,2025-12-03,4.72,175,58,12.37,25.11
USG_000297,SUB_01540,2025-11-22,6.73,302,8,33.57,3.2
USG_000298,SUB_00175,2025-10-06,4.64,193,49,22.71,10.38
USG_000299,SUB_01265,2025-09-23,5.36,55,2,50.29,2.04
USG_000300,SUB_02991,2025-10-02,7.4,267,64,2.54,29.02
USG_000301,SUB_03950,2025-12-03,12.87,214,19,15.63,5.68
USG_000302,SUB_00543,2025-11-23,19.82,49,22,15.73,41.51
USG_000303,SUB_00894,2025-11-06,8.81,461,78,1.7,0.89
USG_000304,SUB_04315,2025-11-22,14.06,19,100,0.63,17.34
USG_000305,SUB_03407,2025-11-14,14.39,257,96,4.53,13.15
USG_000306,SUB_01171,2025-09-22,7.63,47,61,26.03,4.43
USG_000307,SUB_01254,2025-11-30,15.11,66,77,15.09,1.54
USG_000308,SUB_04207,2025-11-15,9.63,423,0,5.88,20.45
USG_000309,SUB_00890,2025-12-30,10.76,480,99,22.96,0.86
USG_000310,SUB_00489,2025-12-02,2.94,332,55,5.99,10.18
USG_000311,SUB_04445,2025-11-12,1.41,215,47,4.56,19.87
USG_000312,SUB_03960,2025-12-27,7.71,22,89,28.14,9.15
USG_000313,SUB_02751,2025-11-13,5.7,219,29,15.64,58.27
USG_000314,SUB_02163,2025-12-18,15.43,246,98,23.76,8.4
USG_000315,SUB_02163,2025-10-25,4.13,179,75,1.98,18.91
USG_000316,SUB_03649,2025-12-18,6.11,379,97,15.48,6.4
USG_000317,SUB_01286,2025-12-23,4.17,356,73,6.07,32.09
USG_000318,SUB_02828,2025-09-19,9.0,217,17,7.95,12.36
USG_000319,SUB_04820,2025-10-09,16.6,244,98,24.11,1.39
USG_000320,SUB_02533,2025-10-06,11.05,465,10,7.48,32.72
USG_000321,SUB_03398,2025-10-13,13.93,306,69,33.88,68.78
USG_000322,SUB_00998,2025-10-29,8.97,131,24,36.93,0.78
USG_000323,SUB_04045,2025-09-07,17.28,363,95,10.37,0.49
USG_000324,SUB_03717,2025-12-17,6.92,3,73,4.91,10.72
USG_000325,SUB_01185,2025-11-12,8.0,60,66,16.85,4.74
USG_000326,SUB_04669,2025-09-07,10.35,192,83,54.48,21.13
USG_000327,SUB_04436,2025-10-03,2.76,352,40,15.86,10.48
USG_000328,SUB_02023,2025-10-29,2.28,185,13,22.5,8.98
USG_000329,SUB_01985,2025-09-26,15.68,218,83,17.37,19.39
USG_000330,SUB_03952,2025-11-20,7.5,129,33,3.53,6.72
USG_000331,SUB_02344,2025-12-25,18.44,274,54,0.87,27.29
USG_000332,SUB_00217,2025-11-18,5.1,187,78,3.05,10.8
USG_000333,SUB_02204,2025-10-12,21.87,348,50,26.97,1.5
USG_000334,SUB_02257,2025-12-12,,104,52,10.72,1.89
USG_000335,SUB_02378,2025-11-16,4.74,401,71,3.43,15.03
USG_000336,SUB_03464,2025-11-07,8.89,91,47,49.3,27.67
USG_000337,SUB_02489,2025-11-17,8.4,284,61,1.56,8.17
USG_000338,SUB_04635,2025-10-09,2.28,157,73,3.95,2.28
USG_000339,SUB_04380,2025-10-21,11.62,396,90,32.65,4.65
USG_000340,SUB_00724,2025-10-27,11.76,376,17,0.85,1.53
USG_000341,SUB_04626,2025-12-25,3.35,442,84,7.54,19.46
USG_000342,SUB_03407,2025-09-22,4.95,382,29,78.94,17.82
USG_000343,SUB_04678,2025-11-03,13.0,400,89,3.08,22.4
USG_000344,SUB_01385,2025-09-27,7.65,51,27,3.91,2.15
USG_000345,SUB_01828,2025-11-11,4.46,205,100,36.93,54.34
USG_000346,SUB_01473,2025-10-20,7.71,410,70,19.21,17.3
USG_000347,SUB_01742,2025-11-24,7.13,356,87,6.25,17.42
USG_000348,SUB_04336,2025-12-06,3.97,26,20,1.68,2.6
USG_000349,SUB_01645,2025-10-26,7.76,493,81,27.61,2.87
USG_000350,SUB_00935,2025-09-07,7.74,411,11,22.7,4.81
USG_000351,SUB_03663,2025-12-21,10.11,74,60,0.68,1.31
USG_000352,SUB_02047,2026-01-03,2.56,307,55,15.4,6.15
USG_000353,SUB_00354,2025-09-18,15.51,32,33,1.72,24.92
USG_000354,SUB_02467,2025-10-05,1.4,189,10,0.81,3.42
USG_000355,SUB_00728,2025-11-23,1.12,19,92,0.87,3.54
USG_000356,SUB_02835,2025-10-26,5.24,476,51,53.35,1.16
USG_000357,SUB_03352,2025-11-24,9.8,335,66,12.22,8.17
USG_000358,SUB_00270,2025-10-13,11.65,364,76,29.18,49.54
USG_000359,SUB_03700,2025-09-14,5.3,484,99,5.8,3.08
USG_000360,SUB_00556,2025-12-20,4.25,89,81,62.27,37.69
USG_000361,SUB_03559,2025-11-09,10.32,224,1,5.88,3.05
USG_000362,SUB_04032,2025-10-02,13.82,435,84,32.47,3.09
USG_000363,SUB_04811,2026-01-04,1.71,411,66,17.24,4.71
USG_000364,SUB_00999,2025-10-13,4.58,99,4,49.6,35.9
USG_000365,SUB_00432,2025-12-16,6.33,306,65,20.47,12.23
USG_000366,SUB_03560,2025-11-12,11.41,357,29,15.4,33.53
USG_000367,SUB_02440,2025-11-24,10.11,86,86,49.52,33.37
USG_000368,SUB_00164,2025-09-11,14.85,184,30,67.15,0.09
USG_000369,SUB_00356,2025-11-29,4.56,0,20,7.44,7.81
USG_000370,SUB_01703,2025-09-18,11.79,141,99,3.49,26.27
USG_000371,SUB_03241,2025-10-28,6.53,180,85,30.73,28.69
USG_000372,SUB_01017,2025-10-27,11.97,207,75,19.24,3.61
USG_000373,SUB_03878,2025-10-02,28.33,265,1,5.17,26.81
USG_000374,SUB_00483,2025-12-10,11.43,360,8,70.58,10.21
USG_000375,SUB_04153,2026-01-02,23.27,46,70,7.18,32.93
USG_000376,SUB_01201,2025-10-13,5.44,371,71,17.82,0.79
USG_000377,SUB_00135,2026-01-02,13.05,298,44,7.68,7.3
USG_000378,SUB_02515,2025-10-21,3.53,493,35,25.26,5.37
USG_000379,SUB_02791,2025-10-05,9.23,310,24,15.93,13.13
USG_000380,SUB_02736,2025-11-04,1.96,476,51,18.43,24.24
USG_000381,SUB_03660,2025-11-19,7.82,2,33,4.17,34.5
USG_000382,SUB_04933,2025-09-29,15.84,208,64,4.65,7.88
USG_000383,SUB_02860,2025-09-20,3.52,286,9,22.37,9.96
USG_000384,SUB_00251,2025-11-10,9.18,150,43,11.28,31.37
USG_000385,SUB_03705,2025-09-21,29.42,411,65,14.23,10.95
USG_000386,SUB_04342,2025-10-09,13.02,448,68,59.37,14.48
